date,open,high,low,close,volume
2009-01-30,346.5,354.5,331.0,331.0,0
2009-02-03,319.5,335.75,307.75,335.75,0
2009-02-04,335.25,368.25,334.75,368.25,0
2009-02-05,340.0,363.0,336.25,336.25,0
2009-02-06,353.0,369.25,348.5,369.25,0
2009-02-09,354.0,377.0,352.0,377.0,0
2009-02-10,367.25,373.0,357.75,357.75,0
2009-02-11,355.0,357.5,340.75,340.75,0
2009-02-12,338.0,345.75,321.25,321.25,0
2009-02-13,335.5,339.25,309.0,309.0,0
2009-02-16,305.25,318.5,291.75,291.75,0
2009-02-17,291.25,297.5,274.75,274.75,0
2009-02-18,287.75,289.0,254.75,254.75,0
2009-02-19,266.0,269.0,255.0,255.0,0
2009-02-20,263.0,289.0,261.0,289.0,0
2009-02-23,295.0,303.5,285.5,285.5,0
2009-02-24,285.25,287.0,266.25,266.25,0
2009-02-25,277.5,284.75,261.0,261.0,0
2009-02-26,271.25,307.5,271.25,307.5,0
2009-02-27,292.5,298.25,274.5,274.5,0
2009-03-02,268.25,273.25,255.0,273.25,0
2009-03-03,262.0,268.25,242.5,242.5,0
2009-03-04,253.0,277.5,251.75,277.5,0
2009-03-05,270.75,279.0,203.75,203.75,0
2009-03-06,220.0,227.25,196.8,196.8,0
2009-03-09,208.25,213.5,198.1,198.1,0
2009-03-10,205.0,245.25,199.9,245.25,0
2009-03-11,249.5,279.75,244.25,279.75,0
2009-03-12,244.75,260.5,233.75,260.5,0
2009-03-13,271.75,275.75,256.5,256.5,0
2009-03-16,279.25,289.0,272.0,272.0,0
2009-03-17,274.5,275.5,256.75,256.75,0
2009-03-18,269.75,270.0,243.0,243.0,0
2009-03-19,274.5,320.25,266.75,320.25,0
2009-03-20,304.0,332.25,299.25,332.25,0
2009-03-23,344.0,352.25,335.0,352.25,0
2009-03-24,343.5,357.25,326.25,357.25,0
2009-03-25,356.0,357.5,340.0,357.5,0
2009-03-26,348.25,349.25,341.75,341.75,0
2009-03-27,340.5,340.75,322.0,322.0,0
2009-03-30,305.5,310.5,302.0,310.5,0
2009-03-31,315.0,339.5,314.0,339.5,0
2009-04-01,329.0,348.0,328.0,348.0,0
2009-04-02,359.25,375.0,356.25,375.0,0
2009-04-03,373.5,386.5,373.0,373.0,0
2009-04-06,378.25,379.0,351.0,351.0,0
2009-04-07,347.0,351.75,342.0,351.75,0
2009-04-08,328.0,343.0,323.0,343.0,0
2009-04-09,344.75,352.5,331.0,352.5,0
2009-04-14,343.0,366.75,325.0,366.75,0
2009-04-15,350.5,362.25,345.25,362.25,0
2009-04-16,364.5,378.75,364.0,378.75,0
2009-04-20,397.25,401.25,367.25,367.25,0
2009-04-21,366.75,372.75,342.75,342.75,0
2009-04-22,364.25,368.5,340.75,340.75,0
2009-04-23,345.0,360.25,342.75,342.75,0
2009-04-24,371.25,376.0,365.0,365.0,0
2009-04-27,368.75,373.0,357.75,373.0,0
2009-04-28,360.0,364.5,355.0,364.5,0
2009-04-29,362.75,378.75,361.0,378.75,0
2009-04-30,375.0,399.0,375.0,399.0,0
2009-05-01,385.0,395.75,383.25,395.75,0
2009-05-04,392.75,392.75,392.75,392.75,0
2009-05-07,444.75,453.25,432.25,432.25,0
2009-05-08,447.75,466.25,430.25,466.25,0
2009-05-11,462.5,463.75,441.0,441.0,0
2009-05-12,446.5,459.5,440.5,459.5,0
2009-05-13,449.5,457.5,405.25,405.25,0
2009-05-14,405.0,438.25,396.25,438.25,0
2009-05-15,440.25,451.25,431.0,431.0,0
2009-05-18,441.5,456.25,435.5,456.25,0
2009-05-19,456.0,483.0,452.0,483.0,0
2009-05-20,466.0,478.0,452.5,452.5,0
2009-05-21,446.5,451.5,429.25,429.25,0
2009-05-22,435.5,447.75,430.5,447.75,0
2009-05-26,441.0,444.0,418.5,418.5,0
2009-05-27,442.25,448.25,428.25,428.25,0
2009-05-28,428.5,429.75,415.25,415.25,0
2009-05-29,428.5,434.75,422.25,422.25,0
2009-06-01,433.5,452.0,426.25,452.0,0
2009-06-02,438.0,463.5,438.0,463.5,0
2009-06-03,460.5,462.0,443.5,443.5,0
2009-06-04,449.25,455.0,432.0,432.0,0
2009-06-05,447.0,462.75,445.0,462.75,0
2009-06-08,448.5,454.25,440.0,454.25,0
2009-06-09,440.0,449.25,438.25,438.25,0
2009-06-10,444.0,449.75,438.0,438.0,0
2009-06-11,436.25,450.25,432.5,450.25,0
2009-06-12,439.0,442.25,433.25,433.25,0
2009-06-15,432.75,436.0,416.75,416.75,0
2009-06-16,420.5,421.5,409.0,409.0,0
2009-06-17,412.75,417.0,398.25,398.25,0
2009-06-18,403.75,410.75,395.5,410.75,0
2009-06-19,404.75,426.5,403.0,426.5,0
2009-06-22,420.75,421.75,404.75,404.75,0
2009-06-23,404.25,408.5,397.5,408.5,0
2009-06-24,406.0,419.75,399.25,419.75,0
2009-06-25,414.5,415.0,399.0,399.0,0
2009-06-26,409.0,413.75,393.25,393.25,0
2009-06-29,396.75,423.75,396.75,423.75,0
2009-06-30,425.0,426.25,408.5,408.5,0
2009-07-01,414.25,422.0,409.25,409.25,0
2009-07-02,410.0,412.0,396.75,396.75,0
2009-07-03,400.25,405.75,396.5,405.75,0
2009-07-06,397.0,401.0,390.0,401.0,0
2009-07-07,401.5,401.75,392.75,392.75,0
2009-07-08,392.0,392.25,368.75,368.75,0
2009-07-09,375.0,375.25,359.25,362.0,0
2009-07-10,361.0,364.75,351.5,351.75,0
2009-07-13,351.0,361.5,350.25,359.25,0
2009-07-14,367.0,371.75,361.25,366.5,0
2009-07-15,371.25,389.25,370.0,386.5,0
2009-07-16,387.0,393.0,383.75,388.25,0
2009-07-17,390.25,395.5,386.25,390.25,0
2009-07-20,393.75,414.0,386.25,411.0,0
2009-07-21,408.25,426.0,407.25,422.75,0
2009-07-22,4.13,4.2,4.12,4.19,0
2009-07-24,425.25,446.5,416.5,425.75,0
2009-07-28,429.62,436.0,424.87,430.12,0
2009-07-29,427.88,441.12,425.0,436.75,0
2009-07-30,441.5,448.87,434.5,445.37,0
2009-07-31,439.5,450.75,439.25,446.25,0
2009-08-03,447.95,454.75,441.85,451.6,0
2009-08-04,447.6,451.65,432.75,444.05,0
2009-08-05,444.95,468.2,444.15,468.2,0
2009-08-06,474.1,486.95,468.65,478.25,0
2009-08-07,473.65,476.35,456.85,472.85,0
2009-08-10,475.05,490.75,469.0,487.1,0
2009-08-11,486.15,491.5,464.3,467.2,0
2009-08-12,464.5,480.15,454.8,475.4,0
2009-08-13,480.9,544.5,480.05,533.0,0
2009-08-14,531.75,533.25,510.25,515.5,0
2009-08-17,509.25,510.75,490.3,497.6,0
2009-08-18,499.35,507.5,493.65,495.9,0
2009-08-19,493.6,503.5,490.05,499.2,0
2009-08-20,506.75,523.75,504.0,522.75,0
2009-08-21,518.5,539.75,513.25,533.75,0
2009-08-24,538.75,548.25,532.75,534.25,0
2009-08-25,524.75,547.25,524.75,543.75,0
2009-08-28,5.29,5.38,5.24,5.37,0
2009-08-31,5.37,5.37,5.37,5.37,0
2009-09-01,5.33,5.39,5.19,5.25,0
2009-09-02,5.16,5.24,5.05,5.13,0
2009-09-03,5.13,5.28,5.1,5.25,0
2009-09-04,5.28,5.5,5.26,5.44,0
2009-09-08,5.55,5.55,5.45,5.46,0
2009-09-09,5.52,5.61,5.49,5.57,0
2009-09-10,5.6,5.66,5.49,5.62,0
2009-09-11,5.68,5.78,5.57,5.58,0
2009-09-14,5.54,5.64,5.49,5.59,0
2009-09-15,5.62,5.62,5.49,5.55,0
2009-09-16,5.6,5.77,5.6,5.68,0
2009-09-17,5.71,5.76,5.63,5.75,0
2009-09-18,568.5,576.75,565.5,573.75,0
2009-09-21,570.75,574.25,560.5,567.5,0
2009-09-23,5.72,5.89,5.68,5.88,0
2009-09-24,5.86,5.91,5.77,5.8,0
2009-09-25,5.82,5.87,5.77,5.86,0
2009-09-28,5.82,5.87,5.63,5.85,0
2009-09-29,5.89,6.01,5.85,6.0,0
2009-09-30,6.01,6.15,5.93,6.0,0
2009-10-02,580.5,589.5,564.5,573.75,0
2009-10-05,577.25,589.75,566.75,586.5,0
2009-10-06,593.5,613.25,589.25,607.75,0
2009-10-07,607.0,622.25,602.75,621.5,0
2009-10-08,626.25,638.0,624.25,629.25,0
2009-10-09,629.75,637.75,624.75,633.5,0
2009-10-12,636.75,648.0,632.75,642.75,0
