date,open,high,low,close,volume
1990-01-02,114.9,114.9,114.9,114.9,0
1990-01-03,119.5,119.5,119.5,119.5,0
1990-01-04,125.7,125.7,125.7,125.7,0
1990-01-05,123.4,123.4,123.4,123.4,0
1990-01-10,121.1,121.1,121.1,121.1,0
1990-01-11,121.9,121.9,121.9,121.9,0
1990-01-12,120.3,120.3,120.3,120.3,0
1990-01-15,119.5,119.5,119.5,119.5,0
1990-01-22,118.8,118.8,118.8,118.8,0
1990-01-23,118.0,118.0,118.0,118.0,0
1990-01-25,118.8,118.8,118.8,118.8,0
1990-01-26,118.0,118.0,118.0,118.0,0
1990-02-02,120.3,120.3,120.3,120.3,0
1990-02-05,124.2,124.2,124.2,124.2,0
1990-02-07,124.9,124.9,124.9,124.9,0
1990-02-08,125.7,125.7,125.7,125.7,0
1990-02-09,124.9,124.9,124.9,124.9,0
1990-02-14,124.2,124.2,124.2,124.2,0
1990-02-15,119.5,119.5,119.5,119.5,0
1990-02-16,117.2,117.2,117.2,117.2,0
1990-02-19,116.5,116.5,116.5,116.5,0
1990-02-20,118.0,118.0,118.0,118.0,0
1990-02-21,117.2,117.2,117.2,117.2,0
1990-02-22,118.8,118.8,118.8,118.8,0
1990-02-23,117.2,117.2,117.2,117.2,0
1990-02-28,118.0,118.0,118.0,118.0,0
1990-03-05,118.8,118.8,118.8,118.8,0
1990-03-06,119.5,119.5,119.5,119.5,0
1990-03-07,120.3,120.3,120.3,120.3,0
1990-03-08,121.9,121.9,121.9,121.9,0
1990-03-12,119.5,119.5,119.5,119.5,0
1990-03-14,120.3,120.3,120.3,120.3,0
1990-03-20,121.9,121.9,121.9,121.9,0
1990-03-21,122.6,122.6,122.6,122.6,0
1990-03-22,121.9,121.9,121.9,121.9,0
1990-03-23,121.1,121.1,121.1,121.1,0
1990-03-26,121.9,121.9,121.9,121.9,0
1990-03-28,125.7,125.7,125.7,125.7,0
1990-04-03,126.5,126.5,126.5,126.5,0
1990-04-05,125.7,125.7,125.7,125.7,0
1990-04-06,124.9,124.9,124.9,124.9,0
1990-04-09,121.9,121.9,121.9,121.9,0
1990-04-10,119.5,119.5,119.5,119.5,0
1990-04-11,114.2,114.2,114.2,114.2,0
1990-04-12,111.8,111.8,111.8,111.8,0
1990-04-17,111.1,111.1,111.1,111.1,0
1990-04-20,110.3,110.3,110.3,110.3,0
1990-04-24,110.3,110.3,110.3,110.3,0
1990-04-25,108.0,108.0,108.0,108.0,0
1990-04-26,106.4,106.4,106.4,106.4,0
1990-04-27,104.9,104.9,104.9,104.9,0
1990-04-30,102.6,102.6,102.6,102.6,0
1990-05-02,103.3,103.3,103.3,103.3,0
1990-05-04,104.1,104.1,104.1,104.1,0
1990-05-08,105.7,105.7,105.7,105.7,0
1990-05-10,106.4,106.4,106.4,106.4,0
1990-05-14,108.8,108.8,108.8,108.8,0
1990-05-15,108.0,108.0,108.0,108.0,0
1990-05-16,111.8,111.8,111.8,111.8,0
1990-05-17,118.8,118.8,118.8,118.8,0
1990-05-18,116.5,116.5,116.5,116.5,0
1990-05-22,118.0,118.0,118.0,118.0,0
1990-05-23,118.8,118.8,118.8,118.8,0
1990-05-24,118.0,118.0,118.0,118.0,0
1990-05-29,119.5,119.5,119.5,119.5,0
1990-05-30,120.3,120.3,120.3,120.3,0
1990-05-31,121.1,121.1,121.1,121.1,0
1990-06-04,129.6,129.6,129.6,129.6,0
1990-06-05,124.9,124.9,124.9,124.9,0
1990-06-07,126.5,126.5,126.5,126.5,0
1990-06-08,125.7,125.7,125.7,125.7,0
1990-06-12,129.6,129.6,129.6,129.6,0
1990-06-13,130.3,130.3,130.3,130.3,0
1990-06-14,129.6,129.6,129.6,129.6,0
1990-06-15,128.8,128.8,128.8,128.8,0
1990-06-19,127.3,127.3,127.3,127.3,0
1990-06-21,126.5,126.5,126.5,126.5,0
1990-06-22,131.9,131.9,131.9,131.9,0
1990-06-25,134.2,134.2,134.2,134.2,0
1990-06-26,135.7,135.7,135.7,135.7,0
1990-06-27,135.0,135.0,135.0,135.0,0
1990-06-28,136.5,136.5,136.5,136.5,0
1990-06-29,135.7,136.5,135.7,136.5,0
1990-07-02,135.7,138.1,135.7,138.1,0
1990-07-03,138.8,139.6,138.1,139.6,0
1990-07-04,139.6,139.6,138.8,139.6,0
1990-07-05,138.8,139.6,136.5,136.5,0
1990-07-06,136.5,136.5,135.7,136.5,0
1990-07-09,135.7,135.7,135.0,135.0,0
1990-07-10,134.2,135.0,134.2,134.2,0
1990-07-11,133.4,134.2,133.4,134.2,0
1990-07-12,133.4,134.2,133.4,134.2,0
1990-07-13,133.4,134.2,133.4,134.2,0
1990-07-16,133.4,136.5,133.4,136.5,0
1990-07-17,136.5,140.4,136.5,140.4,0
1990-07-18,141.1,141.9,141.1,141.9,0
1990-07-19,142.7,143.4,141.9,143.4,0
1990-07-20,143.4,145.0,143.4,145.0,0
1990-07-23,145.0,145.0,144.2,144.2,0
1990-07-24,145.0,146.5,144.2,146.5,0
1990-07-25,147.3,147.3,146.5,146.5,0
1990-07-26,146.5,146.5,146.5,146.5,0
1990-07-27,146.5,146.5,143.4,143.4,0
1990-07-30,144.2,144.2,138.8,138.8,0
1990-07-31,139.6,139.6,138.8,139.6,0
1990-08-01,139.6,139.6,138.1,138.1,0
1990-08-02,137.3,138.1,135.7,135.7,0
1990-08-03,135.7,135.7,135.7,135.7,0
1990-08-06,131.9,133.0,131.1,131.9,0
1990-08-07,131.1,132.7,131.1,132.7,0
1990-08-08,133.4,133.4,132.7,133.4,0
1990-08-09,133.4,133.4,132.7,132.7,0
1990-08-10,133.4,133.4,132.7,132.7,0
1990-08-13,131.1,131.9,131.1,131.1,0
1990-08-14,131.9,131.9,131.1,131.9,0
1990-08-15,132.7,132.7,131.9,132.7,0
1990-08-16,131.9,132.7,131.9,132.7,0
1990-08-17,131.1,131.9,130.3,130.3,0
1990-08-20,131.1,131.1,128.8,128.8,0
1990-08-21,129.6,129.6,120.3,120.3,0
1990-08-22,119.5,119.5,118.0,118.0,0
1990-08-23,117.2,117.2,114.2,114.9,0
1990-08-24,114.9,114.9,114.9,114.9,0
1990-08-28,116.5,118.8,115.7,118.8,0
1990-08-29,119.5,119.5,118.8,118.8,0
1990-08-30,119.5,119.5,118.8,118.8,0
1990-08-31,118.0,118.8,118.0,118.8,0
1990-09-03,119.5,125.7,118.8,125.7,0
1990-09-04,125.7,126.5,125.7,126.5,0
1990-09-05,125.7,126.5,125.7,126.5,0
1990-09-06,127.3,127.3,125.7,125.7,0
1990-09-07,126.5,126.5,125.7,125.7,0
1990-09-10,126.5,126.5,125.7,125.7,0
1990-09-11,125.7,126.5,125.7,126.5,0
1990-09-12,126.5,126.5,126.5,126.5,0
1990-09-13,126.5,126.5,124.9,124.9,0
1990-09-14,124.9,124.9,124.9,124.9,0
1990-09-17,125.7,125.7,121.9,121.9,0
1990-09-18,121.9,121.9,119.5,119.5,0
1990-09-19,119.5,119.5,118.8,119.5,0
1990-09-20,118.8,119.5,117.6,118.0,0
1990-09-21,118.0,118.8,117.2,118.8,0
1990-09-24,117.2,118.0,117.2,117.2,0
1990-09-25,117.2,117.2,117.2,117.2,0
1990-09-26,117.2,121.9,117.2,121.9,0
1990-09-27,121.1,124.2,121.1,124.2,0
1990-09-28,124.2,124.2,124.2,124.2,0
1990-10-01,124.2,124.9,124.2,124.9,0
1990-10-02,124.9,126.5,124.9,126.5,0
1990-10-03,126.5,126.5,126.5,126.5,0
1990-10-04,126.5,126.5,126.5,126.5,0
1990-10-05,125.7,129.6,125.7,129.6,0
1990-10-08,141.1,150.4,135.0,148.9,0
1990-10-09,146.5,147.7,145.8,147.3,0
1990-10-10,147.3,149.6,146.5,149.6,0
1990-10-11,149.6,152.7,149.6,151.9,0
1990-10-12,153.5,153.5,151.9,152.7,0
1990-10-15,154.3,154.3,152.7,153.5,0
