date,open,high,low,close,volume
1990-01-02,330.44,330.44,330.44,330.44,185452
1990-01-03,333.02,333.02,333.02,333.02,964351
1990-01-04,333.89,333.89,333.89,333.89,1017669
1990-01-05,330.44,330.44,330.44,330.44,1008396
1990-01-08,327.42,327.42,327.42,327.42,586493
1990-01-09,325.26,325.26,325.26,325.26,227179
1990-01-10,324.4,324.4,324.4,324.4,665310
1990-01-11,323.53,323.53,323.53,323.53,472903
1990-01-12,319.22,319.22,319.22,319.22,1300483
1990-01-15,317.06,317.06,317.06,317.06,146044
1990-01-16,314.04,314.04,314.04,314.04,1006078
1990-01-17,317.93,317.93,317.93,317.93,449722
1990-01-18,314.47,314.47,314.47,314.47,2074746
1990-01-19,315.34,315.34,315.34,315.34,556357
1990-01-22,312.32,312.32,312.32,312.32,44045
1990-01-23,309.3,309.3,309.3,309.3,201679
1990-01-24,308.0,308.0,308.0,308.0,755718
1990-01-25,310.59,310.59,310.59,310.59,1376982
1990-01-26,309.73,309.73,309.73,309.73,1212394
1990-01-29,313.18,313.18,313.18,313.18,185452
1990-01-30,317.93,317.93,317.93,317.93,428858
1990-01-31,322.67,322.67,322.67,322.67,164589
1990-02-01,323.1,323.1,323.1,323.1,308314
1990-02-02,327.42,327.42,327.42,327.42,746445
1990-02-05,323.96,323.96,323.96,323.96,477539
1990-02-06,319.22,319.22,319.22,319.22,231815
1990-02-07,318.36,318.36,318.36,318.36,13909
1990-02-08,321.38,321.38,321.38,321.38,959715
1990-02-09,320.95,320.95,320.95,320.95,563311
1990-02-12,313.61,313.61,313.61,313.61,412631
1990-02-13,309.3,309.3,309.3,309.3,2781783
1990-02-14,311.45,311.45,311.45,311.45,410313
1990-02-15,310.59,310.59,310.59,310.59,1448845
1990-02-16,308.44,308.44,308.44,308.44,6259011
1990-02-19,303.26,303.26,303.26,303.26,693128
1990-02-20,301.96,301.96,301.96,301.96,296723
1990-02-21,299.38,299.38,299.38,299.38,421904
1990-02-22,301.1,301.1,301.1,301.1,713991
1990-02-23,298.94,298.94,298.94,298.94,1068668
1990-02-26,299.81,299.81,299.81,299.81,88090
1990-02-27,301.53,301.53,301.53,301.53,333814
1990-02-28,302.4,302.4,302.4,302.4,53318
1990-03-01,300.67,300.67,300.67,300.67,1036214
1990-03-02,302.4,302.4,302.4,302.4,227179
1990-03-05,301.1,301.1,301.1,301.1,257315
1990-03-06,297.65,297.65,297.65,297.65,387131
1990-03-07,293.77,293.77,293.77,293.77,1103440
1990-03-08,293.34,293.34,293.34,293.34,516948
1990-03-09,289.45,289.45,289.45,289.45,465949
1990-03-12,286.87,286.87,286.87,286.87,1140531
1990-03-13,285.14,285.14,285.14,285.14,602720
1990-03-14,284.71,284.71,284.71,284.71,1010714
1990-03-15,284.28,284.28,284.28,284.28,294405
1990-03-16,286.87,286.87,286.87,286.87,871625
1990-03-19,282.12,282.12,282.12,282.12,971306
1990-03-20,282.98,282.98,282.98,282.98,470585
1990-03-21,278.24,278.24,278.24,278.24,113589
1990-03-22,280.4,280.4,280.4,280.4,438131
1990-03-23,282.55,282.55,282.55,282.55,113589
1990-03-26,287.3,287.3,287.3,287.3,361632
1990-03-27,290.32,290.32,290.32,290.32,208634
1990-03-28,295.49,295.49,295.49,295.49,224861
1990-03-29,298.08,298.08,298.08,298.08,732536
1990-03-30,299.81,299.81,299.81,299.81,686173
1990-04-02,292.47,292.47,292.47,292.47,737172
1990-04-03,291.18,291.18,291.18,291.18,426540
1990-04-04,289.89,289.89,289.89,289.89,92726
1990-04-05,289.45,289.45,289.45,289.45,693128
1990-04-06,295.06,295.06,295.06,295.06,917988
1990-04-09,289.89,289.89,289.89,289.89,108953
1990-04-10,287.3,287.3,287.3,287.3,164589
1990-04-11,289.02,289.02,289.02,289.02,533175
1990-04-12,291.18,291.18,291.18,291.18,155316
1990-04-17,290.32,290.32,290.32,290.32,69545
1990-04-18,292.91,292.91,292.91,292.91,178498
1990-04-19,284.28,284.28,284.28,284.28,2199926
1990-04-20,285.14,285.14,285.14,285.14,190088
1990-04-23,283.85,283.85,283.85,283.85,67226
1990-04-24,282.55,282.55,282.55,282.55,389450
