date,open,high,low,close,volume
2006-03-13,39.0,41.0,38.33,41.05,40431560
2006-03-14,41.4,41.5,40.5,41.35,9918330
2006-03-15,41.5,41.5,41.2,41.38,31628170
2006-03-16,41.5,41.5,39.0,39.2,21036670
2006-03-17,39.05,39.47,37.3,38.15,14894880
2006-03-20,37.71,38.58,37.7,38.3,3176470
2006-03-21,38.8,39.0,38.0,38.2,10007990
2006-03-22,38.77,38.8,38.0,38.25,7219740
2006-03-23,38.67,38.67,38.0,38.0,881370
2006-03-24,38.05,38.67,38.0,38.4,4398580
2006-03-27,38.76,38.77,38.05,38.4,142400
2006-03-28,38.5,38.8,38.0,38.4,1748560
2006-03-29,38.8,38.8,38.0,38.25,499550
2006-03-30,38.48,38.67,38.0,38.25,1740640
2006-03-31,38.47,38.5,38.0,38.12,1530620
2006-04-03,38.02,38.48,37.7,37.9,24461000
2006-04-04,37.67,37.85,36.2,36.52,9241720
2006-04-05,36.98,37.0,36.4,36.4,2188320
2006-04-06,36.31,36.98,36.0,36.0,8982100
2006-04-07,36.2,36.98,35.71,36.0,11296370
2006-04-10,35.7,36.7,35.7,36.1,2239750
2006-04-11,36.01,36.57,35.81,36.3,3996510
2006-04-12,36.75,36.8,35.7,35.88,10564410
2006-04-13,35.98,36.48,35.7,36.1,76900
2006-04-18,35.71,36.48,35.71,36.25,3274370
2006-04-19,36.48,36.48,35.9,35.92,1505310
2006-04-20,35.93,36.25,35.7,35.7,419200
2006-04-21,36.0,36.0,35.0,35.15,3961590
2006-04-24,35.5,35.76,34.8,34.85,6317380
2006-04-25,34.8,35.57,34.79,35.4,3817430
2006-04-26,35.95,35.95,35.2,35.5,1179390
2006-04-27,35.2,36.0,35.2,35.6,707860
2006-04-28,35.5,36.0,35.5,35.7,246000
2006-05-02,35.7,36.0,35.5,35.5,490070
2006-05-03,35.41,35.59,35.2,35.35,14393120
2006-05-04,35.7,35.7,35.2,35.6,5676120
2006-05-05,35.77,35.8,35.2,35.8,2354360
2006-05-08,35.2,35.49,35.0,34.95,4697470
2006-05-09,35.01,35.99,35.0,35.8,550500
2006-05-10,35.98,36.1,35.51,35.95,6033890
2006-05-11,36.22,37.71,36.22,37.45,23661810
2006-05-12,37.5,37.5,35.95,36.05,8921080
2006-05-15,36.0,36.0,34.5,34.8,11752750
2006-05-16,34.51,35.4,34.5,35.2,181570
2006-05-17,35.2,36.05,35.2,35.35,1425160
2006-05-18,35.17,35.5,35.17,35.33,2062150
2006-05-19,35.37,35.37,34.88,34.85,3433840
2006-05-22,35.5,35.5,33.87,34.15,1150230
2006-05-23,34.0,34.77,34.0,34.15,1608530
2006-05-24,34.06,34.5,33.51,34.15,1593050
2006-05-25,34.44,34.5,34.0,34.3,287800
2006-05-26,34.5,34.7,34.5,34.5,2409700
2006-05-30,34.7,34.7,34.0,34.08,1220350
2006-05-31,34.23,34.3,34.2,34.3,1082710
2006-06-01,34.3,34.5,34.0,34.1,3461980
2006-06-02,34.2,34.35,34.2,34.4,990190
2006-06-05,34.3,34.4,34.3,34.3,160170
2006-06-06,34.5,34.5,34.17,34.4,201220
2006-06-07,34.04,34.38,34.04,34.3,181650
2006-06-08,33.7,34.1,33.7,33.92,4906320
2006-06-09,34.4,34.4,34.4,34.15,40410
