date,open,high,low,close,volume
2009-07-24,371.5,378.5,369.75,376.5,0
2009-07-28,374.37,377.5,368.88,369.38,0
2009-07-29,368.75,377.38,368.25,374.62,0
2009-07-30,382.5,418.5,381.0,409.75,0
2009-07-31,408.5,417.13,405.62,413.87,0
2009-08-03,418.55,421.5,415.1,420.0,0
2009-08-04,419.45,423.05,406.8,412.05,0
2009-08-05,409.65,418.4,409.65,417.2,0
2009-08-06,420.75,427.2,419.95,423.1,0
2009-08-07,413.75,424.25,409.55,423.25,0
2009-08-10,422.85,426.25,421.05,424.55,0
2009-08-11,426.75,426.9,415.05,417.9,0
2009-08-12,418.05,427.15,416.35,423.9,0
2009-08-13,425.05,438.9,423.85,437.8,0
2009-08-14,437.45,442.75,432.85,435.0,0
2009-08-17,433.15,437.4,426.0,428.75,0
2009-08-18,431.85,431.85,423.4,428.25,0
2009-08-19,426.7,429.8,421.0,426.25,0
2009-08-20,429.65,435.85,427.2,434.7,0
2009-08-21,433.15,446.2,432.65,445.7,0
2009-08-24,448.35,456.5,447.55,452.25,0
2009-08-25,447.05,453.9,445.05,453.45,0
2009-08-28,4.54,4.58,4.5,4.54,0
2009-08-31,4.54,4.54,4.54,4.54,0
2009-09-01,4.52,4.54,4.44,4.45,0
2009-09-02,4.47,4.47,4.39,4.41,0
2009-09-03,4.43,4.52,4.42,4.44,0
2009-09-04,4.46,4.59,4.46,4.55,0
2009-09-08,4.7,4.7,4.56,4.58,0
2009-09-09,4.64,4.76,4.64,4.73,0
2009-09-10,4.76,4.76,4.68,4.7,0
2009-09-11,4.72,4.73,4.62,4.64,0
2009-09-14,4.63,4.69,4.61,4.68,0
2009-09-15,4.7,4.71,4.67,4.7,0
2009-09-16,4.74,4.83,4.7,4.8,0
2009-09-17,4.81,4.93,4.81,4.93,0
2009-09-18,491.45,501.75,489.65,496.8,0
2009-09-21,493.0,495.4,481.65,485.2,0
2009-09-23,4.74,4.83,4.73,4.79,0
2009-09-24,4.8,4.81,4.72,4.74,0
2009-09-25,4.75,4.76,4.68,4.69,0
2009-09-28,4.66,4.71,4.55,4.68,0
2009-09-29,4.7,4.8,4.64,4.76,0
2009-09-30,4.77,4.79,4.64,4.7,0
2009-10-02,459.85,460.35,445.6,451.45,0
2009-10-05,452.1,455.65,445.35,454.5,0
2009-10-06,466.4,476.1,463.6,474.5,0
2009-10-07,471.6,481.05,470.35,478.0,0
2009-10-08,486.3,486.5,477.7,481.4,0
2009-10-09,480.35,487.75,478.6,487.25,0
2009-10-12,488.35,491.8,484.35,485.4,0
2009-10-13,484.2,485.3,477.95,478.9,0
2009-10-14,484.35,490.2,480.8,485.85,0
2009-10-15,488.0,489.9,482.85,485.6,0
2009-10-16,486.9,488.1,480.05,484.1,0
2009-10-19,485.6,491.8,485.05,489.2,0
2009-10-20,490.0,492.55,484.2,487.3,0
2009-10-21,487.8,488.35,476.35,482.95,0
2009-10-22,479.0,479.75,471.25,473.9,0
2009-10-23,477.6,481.3,473.5,475.45,0
2009-10-26,475.45,475.55,465.85,468.5,0
2009-10-27,467.9,468.7,464.05,466.5,0
2009-10-28,462.1,462.1,443.45,446.2,0
2009-10-29,444.3,461.35,441.9,459.55,0
2009-10-30,460.9,465.55,450.4,451.05,0
2009-11-02,452.5,455.65,445.15,452.2,0
2009-11-03,444.85,445.25,434.8,445.25,0
2009-11-04,446.85,456.55,445.25,454.45,0
2009-11-05,450.9,469.0,449.9,465.75,0
2009-11-06,467.05,470.95,462.15,467.3,0
2009-11-09,469.5,470.45,466.95,468.2,0
2009-11-10,469.2,473.7,464.85,466.25,0
2009-11-11,467.6,472.85,465.15,466.45,0
2009-11-12,463.8,470.4,460.85,468.15,0
2009-11-13,465.55,471.15,463.4,468.8,0
2009-11-16,484.5,486.25,482.05,483.6,0
2009-11-17,483.55,493.75,483.55,490.8,0
2009-11-18,482.95,489.65,480.85,485.55,0
2009-11-19,484.55,485.15,471.9,474.05,0
2009-11-20,474.7,481.05,472.45,473.35,0
2009-11-23,477.4,481.75,476.35,479.7,0
