date,open,high,low,close,volume
1990-01-02,1236.81,1236.81,1236.81,1236.81,154814
1990-01-03,1229.64,1229.64,1229.64,1229.64,352586
1990-01-04,1208.13,1208.13,1208.13,1208.13,390522
1990-01-05,1186.62,1186.62,1186.62,1186.62,446311
1990-01-08,1200.96,1200.96,1200.96,1200.96,66389
1990-01-09,1172.28,1172.28,1172.28,1172.28,22316
1990-01-10,1165.11,1165.11,1165.11,1165.11,277829
1990-01-11,1150.77,1150.77,1150.77,1150.77,474205
1990-01-12,1132.84,1132.84,1132.84,1132.84,446311
1990-01-15,1143.6,1143.6,1143.6,1143.6,474205
1990-01-16,1168.69,1168.69,1168.69,1168.69,446311
1990-01-17,1172.28,1172.28,1172.28,1172.28,418416
1990-01-18,1157.94,1157.94,1157.94,1157.94,390522
1990-01-19,1150.77,1150.77,1150.77,1150.77,126920
1990-01-22,1125.67,1125.67,1125.67,1125.67,117714
1990-01-23,1129.26,1129.26,1129.26,1129.26,209766
1990-01-24,1157.94,1157.94,1157.94,1157.94,221203
1990-01-25,1111.33,1111.33,1111.33,1111.33,1115777
1990-01-26,1122.09,1122.09,1122.09,1122.09,557889
1990-01-29,1125.67,1125.67,1125.67,1125.67,505447
1990-01-30,1143.6,1143.6,1143.6,1143.6,502100
1990-01-31,1165.11,1165.11,1165.11,1165.11,27894
1990-02-01,1157.94,1157.94,1157.94,1157.94,390522
1990-02-02,1147.18,1147.18,1147.18,1147.18,224829
1990-02-05,1136.43,1136.43,1136.43,1136.43,140309
1990-02-06,1122.09,1122.09,1122.09,1122.09,418416
1990-02-07,1107.75,1107.75,1107.75,1107.75,585783
1990-02-08,1118.5,1118.5,1118.5,1118.5,208929
1990-02-09,1111.33,1111.33,1111.33,1111.33,6974
1990-02-12,1104.16,1104.16,1104.16,1104.16,116878
1990-02-13,1118.5,1118.5,1118.5,1118.5,135846
1990-02-14,1125.67,1125.67,1125.67,1125.67,128872
1990-02-15,1129.26,1129.26,1129.26,1129.26,28452
1990-02-16,1136.43,1136.43,1136.43,1136.43,8647
1990-02-19,1122.09,1122.09,1122.09,1122.09,39052
