date,open,high,close,low,volume
1993-06-22,7.53,7.53,7.53,7.53,1402626
1993-06-24,6.88,6.88,6.88,6.88,1244238
1993-06-28,6.88,6.88,6.88,6.88,591575
1993-06-29,7.31,7.31,7.31,7.31,477294
1993-07-01,7.53,7.53,7.53,7.53,775183
1993-07-05,7.89,7.89,7.89,7.89,501688
1993-07-06,7.93,7.93,7.93,7.93,351226
1993-07-08,7.16,7.16,7.16,7.16,380000
1993-07-12,7.33,7.33,7.33,7.33,178474
1993-07-13,7.24,7.24,7.24,7.24,229038
1993-07-15,7.16,7.16,7.16,7.16,414111
1993-07-19,7.16,7.16,7.16,7.16,353209
1993-07-20,7.03,7.03,7.03,7.03,433741
1993-07-22,7.21,7.21,7.21,7.21,500000
1993-07-26,7.21,7.21,7.21,7.21,324475
1993-07-27,7.1,7.1,7.1,7.1,247918
1993-07-29,7.21,7.21,7.21,7.21,326026
1993-08-02,7.31,7.31,7.31,7.31,263035
1993-08-03,7.31,7.31,7.31,7.31,280082
1993-08-05,7.24,7.24,7.24,7.24,291568
1993-08-09,7.96,7.96,7.96,7.96,757775
1993-08-10,8.75,8.75,8.75,8.75,0
1993-08-12,9.61,9.61,9.61,9.61,0
1993-08-16,10.56,10.56,10.56,10.56,926979
1993-08-17,11.61,11.61,11.61,11.61,1168600
1993-08-19,12.69,12.69,12.69,12.69,792737
1993-08-23,13.86,13.86,13.86,13.86,0
1993-08-24,15.15,15.15,15.15,15.15,339938
1993-08-26,16.67,16.67,16.67,16.67,706930
1993-08-30,15.05,15.05,15.05,15.05,684360
1993-08-31,13.55,13.55,13.55,13.55,789220
1993-09-02,14.84,14.84,14.84,14.84,482167
1993-09-06,16.24,16.24,16.24,16.24,1083294
1993-09-07,14.62,14.62,14.62,14.62,1017141
1993-09-09,13.98,13.98,13.98,13.98,472454
1993-09-13,13.86,13.86,13.86,13.86,274646
1993-09-14,13.98,13.98,13.98,13.98,301913
1993-09-16,14.41,14.41,14.41,14.41,495955
1993-09-20,13.0,13.0,13.0,13.0,377950
1993-09-21,11.71,11.71,11.71,11.71,311013
1993-09-23,10.56,10.56,10.56,10.56,377842
1993-09-27,9.68,9.68,9.68,9.68,604512
1993-09-28,10.65,10.65,10.65,10.65,0
1993-09-30,11.61,11.61,11.61,11.61,408844
1993-10-04,12.69,12.69,12.69,12.69,926382
1993-10-05,13.33,13.33,13.33,13.33,881942
1993-10-07,13.33,13.33,13.33,13.33,941342
1993-10-11,14.09,14.09,14.09,14.09,900287
1993-10-12,14.95,14.95,14.95,14.95,798377
1993-10-14,14.95,14.95,14.95,14.95,679275
1993-10-18,16.13,16.13,16.13,16.13,1433875
1993-10-19,15.58,15.58,15.58,15.58,513488
1993-10-21,14.72,14.72,14.72,14.72,694597
1993-10-26,14.09,14.09,14.09,14.09,525574
1993-10-28,14.95,14.95,14.95,14.95,684217
1993-11-02,14.95,14.95,14.95,14.95,409045
1993-11-04,15.05,15.05,15.05,15.05,797657
1993-11-08,14.41,14.41,14.41,14.41,449451
1993-11-09,14.09,14.09,14.09,14.09,583993
1993-11-10,14.95,14.95,14.95,14.95,369919
1993-11-15,15.48,15.48,15.48,15.48,650367
1993-11-16,15.27,15.27,15.27,15.27,481391
1993-11-18,13.76,13.76,13.76,13.76,636050
1993-11-22,13.76,13.76,13.76,13.76,469688
1993-11-23,14.62,14.62,14.62,14.62,262129
