date,open,high,low,close,volume
1990-01-02,259.83,259.83,259.83,259.83,447737
1990-01-03,263.75,263.75,263.75,263.75,2437567
1990-01-04,261.79,261.79,261.79,261.79,624180
1990-01-05,259.83,259.83,259.83,259.83,429379
1990-01-08,257.87,257.87,257.87,257.87,976047
1990-01-09,262.77,262.77,262.77,262.77,1019902
1990-01-10,261.79,261.79,261.79,261.79,1631844
1990-01-11,259.83,259.83,259.83,259.83,2037765
1990-01-12,256.89,256.89,256.89,256.89,1223883
1990-01-15,253.95,253.95,253.95,253.95,1631844
1990-01-16,252.97,252.97,252.97,252.97,829181
1990-01-17,259.83,259.83,259.83,259.83,1427863
1990-01-18,256.89,256.89,256.89,256.89,1325873
1990-01-19,252.97,252.97,252.97,252.97,907713
1990-01-22,251.0,251.0,251.0,251.0,437538
1990-01-23,250.02,250.02,250.02,250.02,1631844
1990-01-24,249.04,249.04,249.04,249.04,1733834
1990-01-25,253.95,253.95,253.95,253.95,941370
1990-01-26,251.98,251.98,251.98,251.98,444677
1990-01-29,251.98,251.98,251.98,251.98,131567
1990-01-30,258.85,258.85,258.85,258.85,2855726
1990-01-31,259.83,259.83,259.83,259.83,1325873
1990-02-01,261.79,261.79,261.79,261.79,1835824
1990-02-02,259.83,259.83,259.83,259.83,1529853
1990-02-05,261.79,261.79,261.79,261.79,176443
1990-02-06,254.93,254.93,254.93,254.93,1443162
1990-02-07,252.97,252.97,252.97,252.97,723111
1990-02-08,258.85,258.85,258.85,258.85,1325873
1990-02-09,253.95,253.95,253.95,253.95,1019902
1990-02-12,251.98,251.98,251.98,251.98,660897
1990-02-13,252.97,252.97,252.97,252.97,329428
1990-02-14,253.95,253.95,253.95,253.95,1121893
1990-02-15,257.87,257.87,257.87,257.87,1325873
1990-02-16,261.79,261.79,261.79,261.79,479354
1990-02-19,257.87,257.87,257.87,257.87,333508
1990-02-20,256.89,256.89,256.89,256.89,323309
1990-02-21,254.93,254.93,254.93,254.93,1019902
1990-02-23,251.0,251.0,251.0,251.0,557887
