date,open,high,low,close,volume
1990-01-02,136.3,136.3,136.3,136.3,0
1990-01-03,139.7,139.7,139.7,139.7,0
1990-01-04,140.9,140.9,140.9,140.9,0
1990-01-05,141.7,141.7,141.7,141.7,0
1990-01-15,139.7,139.7,139.7,139.7,0
1990-01-17,138.9,138.9,138.9,138.9,0
1990-01-18,135.6,135.6,135.6,135.6,0
1990-02-02,135.9,135.9,135.9,135.9,0
1990-02-05,137.6,137.6,137.6,137.6,0
1990-02-09,141.7,141.7,141.7,141.7,0
1990-02-13,143.8,143.8,143.8,143.8,0
1990-02-14,145.8,145.8,145.8,145.8,0
1990-02-16,147.9,147.9,147.9,147.9,0
1990-02-21,145.8,145.8,145.8,145.8,0
1990-02-23,145.1,145.1,145.1,145.1,0
1990-02-26,143.0,143.0,143.0,143.0,0
1990-02-28,143.8,143.8,143.8,143.8,0
1990-03-05,142.5,142.5,142.5,142.5,0
1990-03-06,141.7,141.7,141.7,141.7,0
1990-03-12,137.6,137.6,137.6,137.6,0
1990-03-21,138.9,138.9,138.9,138.9,0
1990-03-22,137.6,137.6,137.6,137.6,0
1990-03-23,135.6,135.6,135.6,135.6,0
1990-03-26,133.5,133.5,133.5,133.5,0
1990-03-30,131.4,131.4,131.4,131.4,0
1990-04-03,132.7,132.7,132.7,132.7,0
1990-04-04,133.5,133.5,133.5,133.5,0
1990-04-05,131.4,131.4,131.4,131.4,0
1990-04-10,129.4,129.4,129.4,129.4,0
1990-04-12,127.3,127.3,127.3,127.3,0
1990-04-18,125.3,125.3,125.3,125.3,0
1990-04-23,123.2,123.2,123.2,123.2,0
1990-04-24,122.4,122.4,122.4,122.4,0
1990-04-25,121.2,121.2,121.2,121.2,0
1990-04-26,117.1,117.1,117.1,117.1,0
1990-04-30,119.1,119.1,119.1,119.1,0
1990-05-03,117.1,117.1,117.1,117.1,0
1990-05-14,117.2,117.2,117.2,117.2,0
1990-05-17,119.6,119.6,119.6,119.6,0
1990-05-18,121.3,121.3,121.3,121.3,0
1990-05-21,122.1,122.1,122.1,122.1,0
1990-05-22,124.5,124.5,124.5,124.5,0
1990-05-23,125.4,125.4,125.4,125.4,0
1990-05-29,126.2,126.2,126.2,126.2,0
1990-06-01,127.0,127.0,127.0,127.0,0
1990-06-04,127.8,127.8,127.8,127.8,0
1990-06-06,129.5,129.5,129.5,129.5,0
1990-06-13,131.1,131.1,131.1,131.1,0
1990-06-18,131.9,131.9,131.9,131.9,0
1990-06-19,132.8,132.8,132.8,132.8,0
1990-06-22,131.9,131.9,131.9,131.9,0
1990-06-26,132.8,132.8,132.8,132.8,0
1990-06-29,131.9,131.9,131.1,131.1,0
1990-07-02,131.1,131.1,130.3,131.1,0
1990-07-03,131.1,131.1,130.3,130.3,0
1990-07-04,131.1,131.1,130.3,130.3,0
1990-07-05,131.1,131.1,130.3,130.3,0
1990-07-06,130.3,131.1,130.3,131.1,0
1990-07-09,130.3,131.1,130.3,131.1,0
1990-07-10,131.1,131.1,130.3,130.3,0
1990-07-11,130.3,131.1,130.3,130.3,0
1990-07-12,131.1,131.1,130.3,130.3,0
1990-07-13,131.1,131.1,130.3,130.3,0
1990-07-16,131.1,131.1,129.5,129.5,0
1990-07-17,130.3,130.3,129.5,130.3,0
1990-07-18,130.3,130.3,129.5,130.3,0
1990-07-19,130.3,130.3,129.5,130.3,0
