date,open,high,low,close,volume
1990-01-02,2.81,2.81,2.81,2.81,0
1990-01-03,2.77,2.77,2.77,2.77,0
1990-01-04,2.99,2.99,2.99,2.99,0
1990-01-05,3.24,3.24,3.24,3.24,0
1990-01-08,3.26,3.26,3.26,3.26,0
1990-01-09,3.22,3.22,3.22,3.22,0
1990-01-10,3.22,3.22,3.22,3.22,0
1990-01-11,3.32,3.32,3.32,3.32,0
1990-01-12,3.3,3.3,3.3,3.3,0
1990-01-16,3.26,3.26,3.26,3.26,0
1990-01-22,3.28,3.28,3.28,3.28,0
1990-01-23,3.26,3.26,3.26,3.26,0
1990-02-01,3.32,3.32,3.32,3.32,0
1990-02-02,3.3,3.3,3.3,3.3,0
1990-02-05,3.32,3.32,3.32,3.32,0
1990-02-09,3.3,3.3,3.3,3.3,0
1990-02-16,3.32,3.32,3.32,3.32,0
1990-02-19,3.3,3.3,3.3,3.3,0
1990-02-21,3.32,3.32,3.32,3.32,0
1990-02-22,3.41,3.41,3.41,3.41,0
1990-02-23,3.39,3.39,3.39,3.39,0
1990-02-26,3.43,3.43,3.43,3.43,0
1990-02-27,3.41,3.41,3.41,3.41,0
1990-02-28,3.43,3.43,3.43,3.43,0
1990-03-01,3.45,3.45,3.45,3.45,0
1990-03-02,3.49,3.49,3.49,3.49,0
1990-03-05,3.51,3.51,3.51,3.51,0
1990-03-07,3.49,3.49,3.49,3.49,0
1990-03-08,3.51,3.51,3.51,3.51,0
1990-03-12,3.55,3.55,3.55,3.55,0
1990-03-13,3.51,3.51,3.51,3.51,0
1990-03-23,3.55,3.55,3.55,3.55,0
1990-03-28,3.59,3.59,3.59,3.59,0
1990-03-29,3.55,3.55,3.55,3.55,0
1990-04-12,3.57,3.57,3.57,3.57,0
1990-04-17,3.59,3.59,3.59,3.59,0
1990-04-18,3.61,3.61,3.61,3.61,0
1990-04-20,3.65,3.65,3.65,3.65,0
1990-04-23,3.7,3.7,3.7,3.7,0
1990-04-24,3.72,3.72,3.72,3.72,0
1990-04-25,3.7,3.7,3.7,3.7,0
1990-04-30,3.68,3.68,3.68,3.68,0
1990-05-10,3.7,3.7,3.7,3.7,0
1990-05-11,3.68,3.68,3.68,3.68,0
1990-05-14,3.65,3.65,3.65,3.65,0
1990-05-15,3.7,3.7,3.7,3.7,0
1990-05-16,3.72,3.72,3.72,3.72,0
1990-05-17,3.74,3.74,3.74,3.74,0
1990-05-18,3.78,3.78,3.78,3.78,0
1990-05-29,3.88,3.88,3.88,3.88,0
1990-05-30,3.9,3.9,3.9,3.9,0
1990-05-31,3.92,3.92,3.92,3.92,0
1990-06-01,3.94,3.94,3.94,3.94,0
1990-06-04,3.92,3.92,3.92,3.92,0
1990-06-05,3.94,3.94,3.94,3.94,0
1990-06-07,3.98,3.98,3.98,3.98,0
1990-06-11,3.99,3.99,3.99,3.99,0
1990-06-12,3.98,3.98,3.98,3.98,0
1990-06-21,3.98,3.98,3.98,3.98,0
1990-06-26,4.01,4.01,4.01,4.01,0
1990-06-27,4.07,4.07,4.07,4.07,0
1990-06-28,4.03,4.03,4.03,4.03,0
1990-06-29,4.03,4.07,4.03,4.03,0
1990-07-02,4.03,4.07,4.03,4.07,0
1990-07-03,4.03,4.03,4.03,4.03,0
1990-07-04,4.03,4.03,4.03,4.03,0
1990-07-05,4.03,4.03,4.03,4.03,0
1990-07-06,4.03,4.03,4.03,4.03,0
1990-07-09,4.03,4.03,4.03,4.03,0
1990-07-10,4.03,4.03,4.03,4.03,0
1990-07-11,4.03,4.03,4.03,4.03,0
1990-07-12,4.03,4.03,4.03,4.03,0
1990-07-13,4.03,4.03,4.03,4.03,0
1990-07-16,4.03,4.03,4.03,4.03,0
1990-07-17,4.03,4.03,4.03,4.03,0
1990-07-18,4.03,4.03,4.03,4.03,0
1990-07-19,4.03,4.03,4.03,4.03,0
1990-07-20,4.03,4.03,4.03,4.03,0
1990-07-23,4.03,4.03,4.03,4.03,0
1990-07-24,4.03,4.03,3.98,3.99,0
1990-07-25,3.99,3.99,3.99,3.99,0
1990-07-26,3.99,3.99,3.99,3.99,0
1990-07-27,3.99,3.99,3.99,3.99,0
1990-07-30,3.99,4.01,3.99,4.01,0
1990-07-31,3.99,4.01,3.99,4.01,0
1990-08-01,3.99,4.01,3.99,3.99,0
1990-08-02,3.99,4.01,3.99,3.99,0
1990-08-03,4.01,4.01,3.98,3.98,0
1990-08-06,3.98,3.99,3.9,3.9,0
1990-08-07,3.9,3.9,3.88,3.88,0
1990-08-08,3.9,3.9,3.84,3.9,0
1990-08-09,3.9,3.94,3.84,3.94,0
1990-08-10,3.94,3.94,3.9,3.9,0
1990-08-13,3.94,3.94,3.9,3.9,0
1990-08-14,3.9,3.94,3.9,3.9,0
1990-08-15,3.94,3.94,3.9,3.9,0
1990-08-16,3.9,3.94,3.9,3.9,0
1990-08-17,3.9,3.94,3.9,3.9,0
1990-08-20,3.9,3.94,3.9,3.9,0
1990-08-21,3.9,3.94,3.84,3.84,0
1990-08-22,3.9,3.92,3.84,3.92,0
1990-08-23,3.9,3.92,3.84,3.84,0
1990-08-24,3.84,3.84,3.84,3.84,0
1990-08-28,3.84,3.84,3.84,3.84,0
1990-08-29,3.84,3.88,3.84,3.88,0
1990-08-30,3.84,3.92,3.84,3.88,0
1990-08-31,3.94,3.94,3.92,3.92,0
1990-09-03,3.94,3.94,3.92,3.94,0
1990-09-04,3.94,3.94,3.92,3.94,0
1990-09-05,3.94,3.94,3.92,3.94,0
1990-09-06,3.94,3.94,3.92,3.94,0
1990-09-07,3.94,3.94,3.92,3.92,0
1990-09-10,3.94,3.94,3.92,3.92,0
1990-09-11,3.94,3.94,3.92,3.92,0
1990-09-12,3.94,3.94,3.92,3.92,0
1990-09-13,3.94,3.94,3.92,3.94,0
1990-09-14,3.94,3.94,3.92,3.92,0
1990-09-17,3.94,3.94,3.92,3.92,0
1990-09-18,3.94,3.94,3.92,3.92,0
1990-09-19,3.92,3.94,3.9,3.9,0
1990-09-20,3.9,3.9,3.84,3.84,0
1990-09-21,3.84,3.88,3.84,3.84,0
1990-09-24,3.84,3.88,3.84,3.88,0
1990-09-25,3.84,3.88,3.8,3.8,0
1990-09-26,3.8,3.88,3.8,3.8,0
1990-09-27,3.8,3.8,3.78,3.78,0
1990-09-28,3.8,3.8,3.78,3.8,0
1990-10-01,3.78,3.8,3.78,3.78,0
1990-10-02,3.78,3.8,3.78,3.8,0
1990-10-03,3.78,3.78,3.78,3.78,0
1990-10-04,3.78,3.8,3.78,3.78,0
1990-10-05,3.78,3.8,3.78,3.8,0
1990-10-08,3.94,3.98,3.8,3.98,0
1990-10-09,3.98,3.98,3.94,3.94,0
1990-10-10,3.98,3.98,3.94,3.98,0
1990-10-11,3.94,3.98,3.94,3.94,0
1990-10-12,3.98,3.98,3.94,3.94,0
1990-10-15,3.94,3.94,3.9,3.9,0
1990-10-16,3.9,3.9,3.9,3.9,0
1990-10-17,3.9,3.9,3.9,3.9,0
1990-10-18,3.9,3.9,3.9,3.9,0
1990-10-19,3.9,3.9,3.9,3.9,0
1990-10-22,3.9,3.9,3.9,3.9,0
1990-10-23,3.9,3.9,3.9,3.9,0
1990-10-24,3.9,3.9,3.9,3.9,0
1990-10-25,3.9,3.9,3.9,3.9,0
1990-10-26,3.9,3.9,3.88,3.88,0
1990-10-29,3.9,3.9,3.88,3.9,0
1990-10-30,3.9,3.9,3.9,3.9,0
1990-10-31,3.9,3.9,3.9,3.9,0
1990-11-01,3.9,3.9,3.9,3.9,0
1990-11-02,3.9,3.9,3.9,3.9,0
1990-11-05,3.9,3.94,3.9,3.94,0
1990-11-06,3.9,3.94,3.9,3.94,0
1990-11-07,3.9,3.94,3.9,3.94,0
1990-11-08,3.94,3.94,3.9,3.94,0
1990-11-09,3.9,3.94,3.9,3.94,0
1990-11-12,3.94,3.94,3.9,3.9,0
1990-11-13,3.94,3.94,3.9,3.94,0
1990-11-14,3.94,3.94,3.9,3.94,0
1990-11-15,3.94,3.94,3.9,3.94,0
1990-11-16,3.94,3.94,3.9,3.9,0
1990-11-19,3.94,3.94,3.9,3.94,0
1990-11-20,3.94,3.94,3.9,3.9,0
1990-11-21,3.94,3.94,3.9,3.9,0
1990-11-22,3.9,3.94,3.9,3.94,0
1990-11-23,3.9,3.94,3.9,3.9,0
1990-11-26,3.9,3.94,3.9,3.94,0
1990-11-27,3.9,3.94,3.9,3.94,0
1990-11-28,3.9,3.94,3.9,3.94,0
1990-11-29,3.9,3.94,3.9,3.94,0
1990-11-30,3.9,3.94,3.9,3.94,0
1990-12-03,3.9,3.94,3.9,3.9,0
1990-12-04,3.9,3.94,3.9,3.94,0
1990-12-05,3.9,3.94,3.9,3.94,0
1990-12-06,3.9,3.94,3.9,3.94,0
1990-12-07,3.94,3.94,3.88,3.88,0
1990-12-10,3.9,3.9,3.88,3.88,0
1990-12-11,3.9,3.9,3.88,3.88,0
1990-12-12,3.88,3.9,3.88,3.88,0
1990-12-13,3.88,3.88,3.88,3.88,0
1990-12-14,3.88,3.88,3.88,3.88,0
1990-12-17,3.88,3.88,3.84,3.84,0
1990-12-18,3.84,3.84,3.84,3.84,0
1990-12-19,3.84,3.84,3.84,3.84,0
1990-12-20,3.84,3.84,3.84,3.84,0
1990-12-21,3.84,3.84,3.8,3.8,0
1990-12-24,3.8,3.84,3.8,3.84,0
1990-12-27,3.8,3.84,3.8,3.84,0
1990-12-28,3.84,3.84,3.8,3.8,0
1990-12-31,3.84,3.84,3.8,3.8,0
1991-01-02,3.84,3.84,3.8,3.8,0
1991-01-03,3.8,3.84,3.8,3.8,0
1991-01-04,3.84,3.84,3.8,3.8,0
1991-01-07,3.8,3.84,3.8,3.84,0
1991-01-08,3.78,3.84,3.78,3.8,0
1991-01-09,3.8,3.8,3.78,3.8,0
1991-01-10,3.8,3.8,3.78,3.78,0
1991-01-11,3.78,3.8,3.78,3.78,0
1991-01-14,3.78,3.78,3.7,3.7,0
1991-01-15,3.7,3.7,3.7,3.7,0
1991-01-16,3.7,3.7,3.68,3.68,0
1991-01-17,3.7,3.7,3.68,3.68,0
1991-01-18,3.68,3.68,3.68,3.68,0
1991-01-21,3.68,3.68,3.68,3.68,0
1991-01-22,3.68,3.68,3.65,3.65,0
1991-01-23,3.65,3.65,3.65,3.65,0
1991-01-24,3.65,3.65,3.61,3.61,0
1991-01-25,3.65,3.65,3.63,3.63,0
1991-01-28,3.61,3.63,3.61,3.63,0
1991-01-29,3.61,3.63,3.61,3.63,0
1991-01-30,3.61,3.63,3.61,3.63,0
1991-01-31,3.61,3.63,3.61,3.63,0
1991-02-01,3.61,3.63,3.61,3.63,0
1991-02-04,3.61,3.63,3.61,3.63,0
1991-02-05,3.61,3.63,3.61,3.63,0
1991-02-06,3.61,3.63,3.61,3.63,0
1991-02-07,3.61,3.63,3.61,3.63,0
1991-02-08,3.65,3.65,3.63,3.63,0
1991-02-11,3.61,3.63,3.61,3.63,0
1991-02-12,3.61,3.63,3.61,3.63,0
1991-02-13,3.61,3.63,3.61,3.63,0
1991-02-14,3.61,3.63,3.61,3.63,0
1991-02-15,3.61,3.67,3.61,3.67,0
1991-02-18,3.65,3.68,3.65,3.67,0
1991-02-19,3.65,3.67,3.65,3.67,0
1991-02-20,3.65,3.67,3.65,3.67,0
1991-02-21,3.65,3.84,3.65,3.84,0
1991-02-22,3.84,3.9,3.84,3.9,0
1991-02-25,3.9,3.94,3.9,3.94,0
1991-02-26,3.94,3.94,3.94,3.94,0
1991-02-27,3.94,4.03,3.94,4.03,0
1991-02-28,4.03,4.17,4.03,4.17,0
1991-03-01,4.17,4.36,4.17,4.36,0
1991-03-04,4.36,4.44,4.36,4.44,0
1991-03-05,4.46,4.63,4.44,4.63,0
1991-03-06,4.65,4.75,4.65,4.75,0
1991-03-07,4.77,4.79,4.75,4.79,0
1991-03-08,4.81,4.81,4.79,4.79,0
1991-03-11,4.77,4.79,4.77,4.79,0
1991-03-12,4.81,4.81,4.81,4.81,0
1991-03-13,4.81,4.81,4.81,4.81,0
1991-03-14,4.81,4.85,4.81,4.85,0
1991-03-15,4.85,4.87,4.85,4.87,0
1991-03-18,4.85,4.87,4.85,4.87,0
1991-03-19,4.85,4.98,4.85,4.98,0
1991-03-20,5.0,5.1,5.0,5.1,0
1991-03-21,5.1,5.1,5.1,5.1,0
1991-03-22,5.1,5.1,5.1,5.1,0
1991-03-25,5.1,5.1,5.1,5.1,0
1991-03-26,5.04,5.06,4.91,4.91,0
1991-03-27,4.91,4.91,4.75,4.75,0
1991-03-28,4.76,4.84,4.66,4.66,0
1991-04-02,4.66,4.66,4.62,4.62,0
1991-04-03,4.62,4.62,4.62,4.62,0
1991-04-04,4.62,4.62,4.62,4.62,0
1991-04-05,4.62,4.62,4.62,4.62,0
1991-04-08,4.62,4.64,4.52,4.52,0
1991-04-09,4.52,4.52,4.5,4.5,0
1991-04-10,4.5,4.5,4.46,4.46,0
1991-04-11,4.46,4.46,4.46,4.46,0
1991-04-12,4.46,4.52,4.46,4.52,0
1991-04-15,4.66,4.84,4.66,4.72,0
1991-04-16,4.72,5.04,4.72,5.04,0
1991-04-17,5.06,5.06,5.04,5.04,0
1991-04-18,5.06,5.06,5.04,5.04,0
1991-04-19,5.06,5.08,5.04,5.08,0
1991-04-22,5.1,5.1,5.0,5.0,0
1991-04-23,5.0,5.0,4.88,4.88,0
1991-04-24,4.86,4.88,4.86,4.88,0
1991-04-25,4.86,4.88,4.86,4.88,0
1991-04-26,4.86,4.88,4.86,4.88,0
1991-04-29,4.82,4.84,4.82,4.84,0
1991-04-30,4.76,4.76,4.76,4.76,0
1991-05-01,4.76,4.86,4.76,4.86,0
1991-05-02,4.86,4.9,4.86,4.9,0
1991-05-03,4.9,4.9,4.9,4.9,0
1991-05-07,4.9,4.9,4.9,4.9,0
1991-05-08,4.92,4.92,4.9,4.9,0
1991-05-09,4.9,4.9,4.9,4.9,0
1991-05-10,4.9,4.9,4.9,4.9,0
1991-05-13,4.86,4.88,4.86,4.86,0
1991-05-14,4.86,4.86,4.86,4.86,0
1991-05-15,4.86,4.86,4.86,4.86,0
1991-05-16,4.86,4.86,4.86,4.86,0
1991-05-17,4.86,4.86,4.84,4.84,0
1991-05-20,4.84,4.84,4.84,4.84,0
1991-05-21,4.84,4.84,4.82,4.82,0
1991-05-22,4.82,4.82,4.82,4.82,0
1991-05-23,4.82,4.82,4.82,4.82,0
1991-05-28,4.82,4.82,4.82,4.82,0
1991-05-29,4.82,4.82,4.7,4.7,0
1991-05-30,4.82,4.82,4.82,4.82,0
1991-05-31,4.82,4.82,4.82,4.82,0
1991-06-03,4.82,4.84,4.82,4.84,0
1991-06-04,4.82,4.84,4.82,4.83,0
1991-06-05,4.82,4.84,4.82,4.84,0
1991-06-06,4.82,4.84,4.82,4.84,0
1991-06-07,4.82,4.84,4.82,4.84,0
1991-06-10,4.82,4.84,4.82,4.84,0
1991-06-11,4.86,4.86,4.86,4.86,0
1991-06-12,4.82,4.84,4.82,4.84,0
1991-06-13,4.82,4.84,4.82,4.84,0
1991-06-14,4.82,4.84,4.82,4.84,0
1991-06-17,4.82,4.84,4.82,4.84,0
1991-06-18,4.86,4.9,4.84,4.9,0
1991-06-19,4.88,4.98,4.88,4.98,0
1991-06-20,4.96,5.02,4.96,5.02,0
1991-06-21,5.04,5.04,5.02,5.02,0
1991-06-24,5.02,5.04,5.02,5.04,0
1991-06-25,5.02,5.04,5.02,5.04,0
1991-06-26,5.02,5.04,5.01,5.01,0
1991-06-27,5.06,5.06,5.02,5.02,0
1991-06-28,5.06,5.06,5.02,5.06,0
1991-07-01,5.1,5.1,5.06,5.1,0
1991-07-02,5.1,5.12,5.1,5.12,0
1991-07-03,5.14,5.14,5.12,5.12,0
1991-07-04,5.12,5.14,5.12,5.14,0
1991-07-05,5.12,5.16,5.12,5.16,0
1991-07-08,5.18,5.26,5.16,5.26,0
1991-07-09,5.26,5.46,5.26,5.4,0
1991-07-10,5.42,5.42,5.4,5.4,0
1991-07-11,5.4,5.4,5.36,5.36,0
1991-07-12,5.36,5.36,5.32,5.32,0
1991-07-15,5.3,5.32,5.3,5.32,0
1991-07-16,5.3,5.32,5.3,5.32,0
1991-07-17,5.34,5.38,5.32,5.38,0
1991-07-18,5.36,5.38,5.36,5.38,0
1991-07-19,5.36,5.38,5.36,5.38,0
1991-07-22,5.38,5.38,5.36,5.36,0
1991-07-23,5.36,5.36,5.36,5.36,0
1991-07-24,5.36,5.36,5.36,5.36,0
1991-07-25,5.36,5.36,5.36,5.36,0
1991-07-26,5.36,5.36,5.3,5.3,0
1991-07-29,5.3,5.42,5.3,5.42,0
1991-07-30,5.4,5.4,5.4,5.4,0
1991-07-31,5.42,5.42,5.4,5.4,0
1991-08-01,5.42,5.42,5.34,5.34,0
1991-08-02,5.36,5.36,5.34,5.34,0
1991-08-05,5.36,5.36,5.34,5.34,0
1991-08-06,5.32,5.34,5.32,5.34,0
1991-08-07,5.32,5.34,5.32,5.34,0
1991-08-08,5.32,5.34,5.28,5.28,0
1991-08-09,5.26,5.28,5.26,5.28,0
1991-08-12,5.28,5.28,5.26,5.26,0
1991-08-13,5.28,5.28,5.26,5.26,0
1991-08-14,5.26,5.26,5.26,5.26,0
1991-08-15,5.26,5.26,5.26,5.26,0
1991-08-16,5.26,5.26,5.26,5.26,0
1991-08-19,5.26,5.26,5.18,5.18,0
1991-08-20,5.18,5.18,5.16,5.18,0
1991-08-21,5.18,5.18,5.18,5.18,0
1991-08-22,5.16,5.18,5.16,5.18,0
1991-08-23,5.16,5.18,5.16,5.18,0
1991-08-27,5.2,5.2,5.18,5.18,0
1991-08-28,5.18,5.18,5.16,5.18,0
1991-08-29,5.16,5.18,5.16,5.18,0
