date,open,high,low,close,volume
1990-01-02,552.2,552.2,552.2,552.2,14940
1990-01-04,555.54,555.54,555.54,555.54,175699
1990-01-05,550.52,550.52,550.52,550.52,74104
1990-01-08,548.85,548.85,548.85,548.85,301795
1990-01-09,550.52,550.52,550.52,550.52,31076
1990-01-11,552.2,552.2,552.2,552.2,200201
1990-01-12,540.48,540.48,540.48,540.48,297612
1990-01-15,542.16,542.16,542.16,542.16,1793
1990-01-16,545.5,545.5,545.5,545.5,657376
1990-01-17,552.2,552.2,552.2,552.2,151794
1990-01-18,543.83,543.83,543.83,543.83,116535
1990-01-19,542.16,542.16,542.16,542.16,16733
1990-01-22,538.81,538.81,538.81,538.81,240241
1990-01-23,537.14,537.14,537.14,537.14,169723
1990-01-24,532.12,532.12,532.12,532.12,373509
1990-01-25,535.46,535.46,535.46,535.46,86654
1990-01-26,532.12,532.12,532.12,532.12,520522
1990-01-30,520.4,520.4,520.4,520.4,1015945
1990-01-31,523.75,523.75,523.75,523.75,717138
1990-02-01,522.08,522.08,522.08,522.08,138647
1990-02-05,518.73,518.73,518.73,518.73,570124
1990-02-06,513.71,513.71,513.71,513.71,89642
1990-02-07,512.04,512.04,512.04,512.04,147013
1990-02-08,515.38,515.38,515.38,515.38,175699
1990-02-09,512.04,512.04,512.04,512.04,26893
1990-02-12,507.02,507.02,507.02,507.02,461359
1990-02-13,502.0,502.0,502.0,502.0,295819
1990-02-14,503.67,503.67,503.67,503.67,10159
1990-02-15,507.02,507.02,507.02,507.02,494825
1990-02-16,512.04,512.04,512.04,512.04,14940
1990-02-19,503.67,503.67,503.67,503.67,38845
1990-02-21,502.0,502.0,502.0,502.0,69921
1990-02-22,505.34,505.34,505.34,505.34,23307
1990-02-23,495.3,495.3,495.3,495.3,717138
1990-02-26,491.96,491.96,491.96,491.96,139842
1990-02-27,495.3,495.3,495.3,495.3,169723
1990-02-28,498.65,498.65,498.65,498.65,114144
1990-03-01,490.28,490.28,490.28,490.28,309564
1990-03-02,483.59,483.59,483.59,483.59,445821
1990-03-05,480.24,480.24,480.24,480.24,254584
1990-03-06,468.53,468.53,468.53,468.53,347812
