date,open,high,low,close,volume
1990-08-29,32.62,32.62,32.62,32.62,0
1990-08-30,30.36,30.36,30.36,30.36,0
1990-08-31,30.36,30.36,30.36,30.36,0
1990-09-03,31.72,31.72,31.72,31.72,0
1990-09-04,30.36,30.36,30.36,30.36,0
1990-09-05,29.91,29.91,29.91,29.91,0
1990-09-06,29.0,29.0,29.0,29.0,0
1990-09-07,29.45,29.45,29.45,29.45,0
1990-09-10,29.45,29.45,29.45,29.45,0
1990-09-11,29.45,29.45,29.45,29.45,0
1990-09-12,29.0,29.0,29.0,29.0,0
1990-09-13,29.0,29.0,29.0,29.0,0
1990-09-14,28.55,28.55,28.55,28.55,0
1990-09-17,28.09,28.09,28.09,28.09,0
1990-09-18,28.09,28.09,28.09,28.09,0
1990-09-19,28.09,28.09,28.09,28.09,0
1990-09-20,28.09,28.09,28.09,28.09,0
1990-09-21,28.09,28.09,28.09,28.09,0
1990-09-24,28.09,28.09,28.09,28.09,0
1990-09-25,28.32,28.32,28.32,28.32,0
1990-09-26,28.55,28.55,28.55,28.55,0
1990-09-27,28.55,28.55,28.55,28.55,0
1990-09-28,28.55,28.55,28.55,28.55,0
1990-10-01,28.55,28.55,28.55,28.55,0
1990-10-02,28.55,28.55,28.55,28.55,0
1990-10-03,28.55,28.55,28.55,28.55,0
1990-10-04,29.0,29.0,29.0,29.0,0
1990-10-05,29.45,29.45,29.45,29.45,0
1990-10-08,29.91,29.91,29.91,29.91,0
1990-10-09,29.45,29.45,29.45,29.45,0
1990-10-10,29.0,29.0,29.0,29.0,0
1990-10-11,28.55,28.55,28.55,28.55,0
1990-10-12,28.55,28.55,28.55,28.55,0
1990-10-15,28.55,28.55,28.55,28.55,0
1990-10-16,28.55,28.55,28.55,28.55,0
1990-10-17,29.0,29.0,29.0,29.0,0
1990-10-18,29.0,29.0,29.0,29.0,0
1990-10-19,29.0,29.0,29.0,29.0,0
1990-10-22,29.45,29.45,29.45,29.45,0
1990-10-23,29.45,29.45,29.45,29.45,0
1990-10-24,29.91,29.91,29.91,29.91,0
1990-10-25,29.91,29.91,29.91,29.91,0
1990-10-26,29.91,29.91,29.91,29.91,0
1990-10-29,30.36,30.36,30.36,30.36,0
1990-10-30,29.91,29.91,29.91,29.91,0
1990-10-31,29.91,29.91,29.91,29.91,0
1990-11-01,29.91,29.91,29.91,29.91,0
1990-11-02,29.45,29.45,29.45,29.45,0
1990-11-05,28.55,28.55,28.55,28.55,0
1990-11-06,28.55,28.55,28.55,28.55,0
1990-11-07,29.0,29.0,29.0,29.0,0
1990-11-08,29.91,29.91,29.91,29.91,0
1990-11-09,29.91,29.91,29.91,29.91,0
1990-11-12,29.91,29.91,29.91,29.91,0
1990-11-13,29.45,29.45,29.45,29.45,0
1990-11-14,29.45,29.45,29.45,29.45,0
1990-11-15,29.45,29.45,29.45,29.45,0
1990-11-16,29.45,29.45,29.45,29.45,0
1990-11-19,29.91,29.91,29.91,29.91,0
1990-11-20,29.91,29.91,29.91,29.91,0
1990-11-21,30.36,30.36,30.36,30.36,0
1990-11-22,30.36,30.36,30.36,30.36,0
1990-11-23,31.27,31.27,31.27,31.27,0
1990-11-26,31.27,31.27,31.27,31.27,0
1990-11-27,30.81,30.81,30.81,30.81,0
1990-11-28,30.81,30.81,30.81,30.81,0
1990-11-29,30.81,30.81,30.81,30.81,0
1990-11-30,30.36,30.36,30.36,30.36,0
1990-12-03,30.36,30.36,30.36,30.36,0
1990-12-04,30.81,30.81,30.81,30.81,0
1990-12-05,30.81,30.81,30.81,30.81,0
1990-12-06,31.72,31.72,31.72,31.72,0
1990-12-07,32.17,32.17,32.17,32.17,0
1990-12-10,32.17,32.17,32.17,32.17,0
1990-12-11,32.17,32.17,32.17,32.17,0
1990-12-12,32.17,32.17,32.17,32.17,0
1990-12-13,32.17,32.17,32.17,32.17,0
1990-12-14,32.17,32.17,32.17,32.17,0
1990-12-17,31.72,31.72,31.72,31.72,0
1990-12-18,31.27,31.27,31.27,31.27,0
1990-12-19,31.27,31.27,31.27,31.27,0
1990-12-20,30.81,30.81,30.81,30.81,0
1990-12-21,30.81,30.81,30.81,30.81,0
1990-12-24,30.36,30.36,30.36,30.36,0
1990-12-27,30.36,30.36,30.36,30.36,0
1990-12-28,29.45,29.45,29.45,29.45,0
1990-12-31,29.45,29.45,29.45,29.45,0
1991-01-02,29.45,29.45,29.45,29.45,0
1991-01-03,29.45,29.45,29.45,29.45,0
1991-01-04,28.55,28.55,28.55,28.55,0
1991-01-07,28.55,28.55,28.55,28.55,0
1991-01-08,28.09,28.09,28.09,28.09,0
1991-01-09,28.55,28.55,28.55,28.55,0
1991-01-10,28.09,28.09,28.09,28.09,0
1991-01-11,28.09,28.09,28.09,28.09,0
1991-01-14,27.19,27.19,27.19,27.19,0
1991-01-15,27.19,27.19,27.19,27.19,0
1991-01-16,27.19,27.19,27.19,27.19,0
1991-01-17,27.19,27.19,27.19,27.19,0
1991-01-18,26.73,26.73,26.73,26.73,0
1991-01-21,26.73,26.73,26.73,26.73,0
1991-01-22,26.73,26.73,26.73,26.73,0
1991-01-23,26.73,26.73,26.73,26.73,0
1991-01-24,26.73,26.73,26.73,26.73,0
1991-01-25,26.73,26.73,26.73,26.73,0
1991-01-28,27.19,27.19,27.19,27.19,0
1991-01-29,27.19,27.19,27.19,27.19,0
1991-01-30,27.19,27.19,27.19,27.19,0
1991-01-31,27.64,27.64,27.64,27.64,0
1991-02-01,27.64,27.64,27.64,27.64,0
1991-02-04,27.19,27.19,27.19,27.19,0
1991-02-05,27.19,27.19,27.19,27.19,0
1991-02-06,27.64,27.64,27.64,27.64,0
1991-02-07,28.09,28.09,28.09,28.09,0
1991-02-08,28.09,28.09,28.09,28.09,0
1991-02-11,28.55,28.55,28.55,28.55,0
1991-02-12,29.45,29.45,29.45,29.45,0
1991-02-13,29.0,29.0,29.0,29.0,0
1991-02-14,29.91,29.91,29.91,29.91,0
1991-02-15,29.91,29.91,29.91,29.91,0
1991-02-18,30.36,30.36,30.36,30.36,0
1991-02-19,29.45,30.81,29.45,30.36,1253950
1991-02-20,31.27,31.27,29.45,30.81,1337089
1991-02-21,29.45,29.91,29.45,30.81,104447
