date,open,high,low,close,volume
2011-11-11,5.0,5.0,4.7,4.8,530971
2011-11-14,4.8,4.9,4.8,4.9,465885
2011-11-15,4.9,4.9,4.6,4.7,304364
2011-11-16,4.7,4.7,4.5,4.5,101878
2011-11-17,4.5,4.5,4.4,4.5,210381
2011-11-18,4.5,4.5,4.3,4.3,170208
2011-11-21,4.3,4.3,4.1,4.1,137553
2011-11-22,4.1,4.2,4.1,4.2,162840
2011-11-23,4.1,4.2,4.1,4.1,98049
2011-11-24,4.1,4.2,4.1,4.1,80197
2011-11-25,4.1,4.1,3.9,4.0,282986
2011-11-28,4.1,4.3,4.1,4.3,86376
2011-11-29,4.3,4.3,4.2,4.3,81815
2011-11-30,4.3,4.5,4.2,4.5,4349667
2011-12-01,4.5,4.6,4.4,4.5,203056
2011-12-02,4.6,4.8,4.5,4.6,79393
2011-12-05,4.7,4.9,4.7,4.9,359987
2011-12-06,4.8,4.8,4.7,4.8,48539
2011-12-07,4.8,4.9,4.7,4.8,90104
2011-12-08,4.8,5.0,4.4,4.5,179742
2011-12-09,4.5,4.7,4.5,4.6,51518
2011-12-12,4.6,4.6,4.3,4.3,65229
2011-12-13,4.4,4.5,4.3,4.3,62898
2011-12-14,4.3,4.4,4.2,4.2,119327
2011-12-15,4.3,4.6,4.2,4.5,281612
2011-12-16,4.5,4.6,4.4,4.6,195488
2011-12-19,4.6,4.8,4.6,4.6,209494
2011-12-20,4.7,4.9,4.6,4.8,148858
2011-12-21,4.9,5.0,4.7,4.7,214629
2011-12-22,4.7,4.8,4.7,4.8,290576
2011-12-23,4.8,4.8,4.6,4.8,23191
2011-12-28,4.8,4.8,4.6,4.7,86997
2011-12-29,4.7,4.8,4.6,4.7,54065
2011-12-30,4.7,4.7,4.6,4.7,26985
2012-01-03,4.7,5.0,4.7,4.8,104496
2012-01-04,4.9,4.9,4.8,4.9,105359
2012-01-05,4.9,4.9,4.8,4.9,121011
2012-01-06,4.9,5.0,4.8,4.9,49469
2012-01-09,4.9,4.9,4.8,4.8,30573
2012-01-10,4.9,5.1,4.9,5.1,97753
2012-01-11,5.0,5.2,4.9,4.9,167701
2012-01-12,5.1,5.2,5.0,5.0,151902
2012-01-13,5.1,5.2,5.0,5.1,149033
2012-01-16,5.1,5.1,5.1,5.1,56818
2012-01-17,5.3,5.5,5.2,5.3,254551
2012-01-18,5.5,5.7,5.5,5.6,521373
2012-01-19,5.6,5.8,5.5,5.7,375200
2012-01-20,5.7,5.8,5.7,5.7,47553
2012-01-23,5.7,6.0,5.7,5.8,52148
2012-01-24,5.8,5.8,5.7,5.8,173276
2012-01-25,5.8,5.9,5.8,5.9,264270
2012-01-26,5.9,6.4,5.9,6.2,1009808
2012-01-27,6.3,6.5,6.3,6.4,692883
2012-01-30,6.3,6.3,6.1,6.3,196319
2012-01-31,6.2,6.4,6.2,6.4,193805
2012-02-01,6.4,6.5,6.3,6.3,284603
2012-02-02,6.4,6.5,6.3,6.3,87728
2012-02-03,6.4,6.4,6.2,6.4,123866
2012-02-06,6.3,6.7,6.3,6.6,172763
2012-02-07,6.7,6.7,6.5,6.6,220958
2012-02-08,7.1,7.4,7.0,7.2,1556844
2012-02-09,7.3,7.4,7.1,7.3,446987
2012-02-10,7.2,7.3,7.1,7.2,105702
2012-02-13,7.2,7.3,7.2,7.3,82183
2012-02-14,7.3,7.3,7.2,7.2,248267
2012-02-15,7.2,7.3,7.1,7.2,274597
2012-02-16,7.1,7.4,7.1,7.3,520842
2012-02-17,7.4,7.6,7.4,7.5,276400
2012-02-20,7.4,7.6,7.4,7.5,114048
2012-02-21,7.5,7.6,7.5,7.5,138813
2012-02-22,7.5,7.6,7.4,7.5,310878
2012-02-23,7.5,7.7,7.5,7.6,247702
2012-02-24,7.6,7.7,7.5,7.5,214167
2012-02-27,7.6,7.6,7.4,7.4,106070
2012-02-28,7.4,7.6,7.4,7.5,136128
2012-02-29,7.5,7.7,7.4,7.6,219173
2012-03-01,7.6,7.9,7.5,7.7,188455
2012-03-02,7.3,7.3,7.1,7.2,3899492
2012-03-05,7.3,7.4,7.2,7.2,483580
2012-03-06,7.2,7.2,6.8,6.9,793013
2012-03-07,6.9,6.9,6.7,6.8,495724
2012-03-08,6.9,7.2,6.9,7.2,987729
2012-03-09,7.2,7.2,7.1,7.2,505528
2012-03-12,7.2,7.3,7.1,7.3,136329
2012-03-13,7.3,7.4,7.3,7.3,103239
2012-03-14,7.4,7.4,7.2,7.2,237500
2012-03-15,7.2,7.3,7.1,7.2,524279
2012-03-16,7.2,7.3,7.2,7.3,237756
2012-03-19,7.3,7.3,7.2,7.3,119361
2012-03-20,7.3,7.3,7.1,7.2,98713
2012-03-21,7.2,7.3,6.9,7.0,256944
2012-03-22,7.0,7.0,6.8,6.9,387229
2012-03-23,6.9,7.0,6.9,6.9,208411
2012-03-26,7.0,7.0,6.8,6.9,175846
2012-03-27,6.9,7.0,6.9,6.9,170293
2012-03-28,6.9,7.0,6.8,6.8,244202
2012-03-29,6.8,6.8,6.7,6.8,174415
2012-03-30,6.8,6.9,6.8,6.8,117577
2012-04-02,6.8,6.9,6.7,6.7,166528
2012-04-03,6.8,6.8,6.6,6.6,206610
2012-04-04,6.6,6.6,6.4,6.5,277332
2012-04-05,6.5,6.5,6.2,6.3,206847
2012-04-10,6.3,6.3,6.1,6.3,203449
2012-04-11,6.2,6.3,6.1,6.3,952919
2012-04-12,6.3,6.6,6.3,6.5,260424
2012-04-13,6.6,6.6,6.4,6.4,105173
2012-04-16,6.4,6.6,6.4,6.5,103822
2012-04-17,6.5,6.8,6.4,6.8,368963
2012-04-18,6.8,7.1,6.8,6.9,425544
2012-04-19,6.9,6.9,6.7,6.7,192249
2012-04-20,6.7,6.8,6.5,6.5,96573
2012-04-23,6.5,6.5,6.3,6.3,98965
2012-04-24,6.3,6.5,6.3,6.4,112573
2012-04-25,6.4,6.4,6.3,6.4,118901
2012-04-26,6.4,6.5,6.3,6.4,54217
2012-04-27,6.4,6.4,6.4,6.4,107316
2012-04-30,6.4,6.5,6.3,6.4,88170
2012-05-01,6.4,6.5,6.4,6.5,99223
2012-05-02,6.5,6.7,6.4,6.4,385968
2012-05-03,6.5,6.6,6.3,6.3,200582
2012-05-04,6.7,6.7,6.2,6.4,678557
2012-05-08,6.4,6.4,6.3,6.4,225107
2012-05-09,6.4,6.4,6.0,6.4,217538
2012-05-10,6.3,6.6,6.3,6.5,133843
2012-05-11,6.5,6.6,6.4,6.6,128520
2012-05-14,6.5,6.5,6.3,6.4,181916
2012-05-15,6.5,6.5,6.3,6.4,220465
2012-05-16,6.3,6.4,6.2,6.3,248097
2012-05-17,6.3,6.3,5.7,5.8,388116
2012-05-18,5.8,5.8,5.6,5.7,297152
2012-05-21,5.7,5.7,5.5,5.6,203767
2012-05-22,5.6,5.8,5.6,5.8,273327
2012-05-23,5.7,5.8,5.4,5.4,377750
2012-05-24,5.5,5.7,5.5,5.6,170932
2012-05-25,5.6,5.7,5.4,5.4,153268
2012-05-28,5.5,5.6,5.4,5.4,136009
2012-05-29,5.5,5.6,5.5,5.6,210224
2012-05-30,5.6,5.6,5.2,5.3,311912
2012-05-31,5.3,5.3,5.1,5.1,242406
2012-06-01,5.1,5.1,5.0,5.0,214882
2012-06-06,5.2,5.3,5.1,5.3,228282
2012-06-07,5.3,5.5,5.3,5.4,124375
2012-06-08,5.4,5.4,5.3,5.4,123876
2012-06-11,5.5,5.7,5.3,5.3,168333
2012-06-12,5.4,5.4,5.2,5.4,213181
2012-06-13,5.4,5.4,5.2,5.2,119304
2012-06-14,5.2,5.2,5.0,5.2,425188
2012-06-15,5.2,5.2,5.1,5.2,332809
