date,open,high,low,close,volume
1990-01-02,90.08,90.08,90.08,90.08,0
1990-01-03,90.65,90.65,90.65,90.65,0
1990-01-04,92.96,92.96,92.96,92.96,0
1990-01-05,95.83,95.83,95.83,95.83,0
1990-01-08,94.39,94.39,94.39,94.39,0
1990-01-09,94.11,94.11,94.11,94.11,0
1990-01-10,97.27,97.27,97.27,97.27,0
1990-01-11,99.86,99.86,99.86,99.86,0
1990-01-12,98.71,98.71,98.71,98.71,0
1990-01-15,97.56,97.56,97.56,97.56,0
1990-01-16,96.7,96.7,96.7,96.7,0
1990-01-18,95.83,95.83,95.83,95.83,0
1990-01-19,95.55,95.55,95.55,95.55,0
1990-01-22,95.83,95.83,95.83,95.83,0
1990-01-23,94.97,94.97,94.97,94.97,0
1990-01-24,92.96,92.96,92.96,92.96,0
1990-01-26,94.39,94.39,94.39,94.39,0
1990-01-29,94.39,94.39,94.39,94.39,0
1990-01-30,94.68,94.68,94.68,94.68,0
1990-01-31,95.55,95.55,95.55,95.55,0
1990-02-01,97.85,97.85,97.85,97.85,0
1990-02-05,98.14,98.14,98.14,98.14,0
1990-02-06,99.29,99.29,99.29,99.29,0
1990-02-09,98.42,98.42,98.42,98.42,0
1990-02-12,97.85,97.85,97.85,97.85,0
1990-02-13,97.27,97.27,97.27,97.27,0
1990-02-15,95.83,95.83,95.83,95.83,0
1990-02-20,94.39,94.39,94.39,94.39,0
1990-02-21,93.53,93.53,93.53,93.53,0
1990-02-22,92.67,92.67,92.67,92.67,0
1990-02-23,90.94,90.94,90.94,90.94,0
1990-02-26,90.37,90.37,90.37,90.37,0
1990-02-28,90.94,90.94,90.94,90.94,0
1990-03-01,92.38,92.38,92.38,92.38,0
1990-03-02,92.09,92.09,92.09,92.09,0
1990-03-05,91.52,91.52,91.52,91.52,0
1990-03-07,90.94,90.94,90.94,90.94,0
1990-03-08,90.65,90.65,90.65,90.65,0
1990-03-09,90.94,90.94,90.94,90.94,0
1990-03-12,90.65,90.65,90.65,90.65,0
1990-03-13,90.37,90.37,90.37,90.37,0
1990-03-16,90.65,90.65,90.65,90.65,0
1990-03-19,90.37,90.37,90.37,90.37,0
1990-03-20,90.65,90.65,90.65,90.65,0
1990-03-27,88.93,88.93,88.93,88.93,0
1990-03-29,86.05,86.05,86.05,86.05,0
1990-03-30,85.76,85.76,85.76,85.76,0
1990-04-03,86.34,86.34,86.34,86.34,0
1990-04-04,88.35,88.35,88.35,88.35,0
1990-04-05,87.49,87.49,87.49,87.49,0
1990-04-06,87.2,87.2,87.2,87.2,0
1990-04-09,86.91,86.91,86.91,86.91,0
1990-04-10,86.62,86.62,86.62,86.62,0
1990-04-11,86.91,86.91,86.91,86.91,0
1990-04-12,86.62,86.62,86.62,86.62,0
1990-04-17,86.05,86.05,86.05,86.05,0
1990-04-19,84.9,84.9,84.9,84.9,0
1990-04-20,84.61,84.61,84.61,84.61,0
1990-04-23,84.32,84.32,84.32,84.32,0
1990-04-24,83.75,83.75,83.75,83.75,0
1990-04-25,83.46,83.46,83.46,83.46,0
1990-04-27,84.03,84.03,84.03,84.03,0
1990-04-30,84.61,84.61,84.61,84.61,0
1990-05-01,86.91,86.91,86.91,86.91,0
1990-05-02,87.2,87.2,87.2,87.2,0
1990-05-04,87.49,87.49,87.49,87.49,0
1990-05-09,87.78,87.78,87.78,87.78,0
1990-05-15,86.34,86.34,86.34,86.34,0
1990-05-16,85.76,85.76,85.76,85.76,0
1990-05-17,85.19,85.19,85.19,85.19,0
1990-05-18,84.61,84.61,84.61,84.61,0
1990-05-21,84.32,84.32,84.32,84.32,0
1990-05-23,84.61,84.61,84.61,84.61,0
1990-05-24,84.9,84.9,84.9,84.9,0
1990-05-31,85.19,85.19,85.19,85.19,0
1990-06-01,85.47,85.47,85.47,85.47,0
1990-06-05,84.9,84.9,84.9,84.9,0
1990-06-07,83.75,83.75,83.75,83.75,0
1990-06-08,82.88,82.88,82.88,82.88,0
1990-06-14,85.76,85.76,85.76,85.76,0
1990-06-15,86.05,86.05,86.05,86.05,0
1990-06-18,86.34,86.34,86.34,86.34,0
1990-06-19,87.78,87.78,87.78,87.78,0
1990-06-20,89.21,89.21,89.21,89.21,0
1990-06-21,90.08,90.08,90.08,90.08,0
1990-06-25,90.94,90.94,90.94,90.94,0
1990-06-26,91.52,91.52,91.52,91.52,0
1990-06-27,90.65,90.65,90.65,90.65,0
1990-06-29,91.23,91.23,90.65,90.65,0
1990-07-02,90.37,90.65,90.37,90.65,0
1990-07-03,90.37,90.94,90.37,90.94,0
1990-07-04,90.94,91.23,90.94,91.23,0
1990-07-05,91.23,91.23,91.23,91.23,0
1990-07-06,91.23,91.8,91.23,91.8,0
1990-07-09,91.8,92.38,91.8,92.38,0
1990-07-10,92.38,92.38,92.38,92.38,0
1990-07-11,92.38,92.38,92.38,92.38,0
1990-07-12,92.38,92.38,92.38,92.38,0
1990-07-13,92.38,92.38,92.38,92.38,0
1990-07-16,92.38,94.11,92.38,94.11,0
1990-07-17,94.11,94.11,94.11,94.11,0
1990-07-18,94.11,94.11,94.11,94.11,0
1990-07-19,94.11,94.11,94.11,94.11,0
1990-07-20,94.11,94.39,94.11,94.39,0
