date,open,high,low,close,volume
1990-01-03,288.18,288.18,288.18,288.18,905612
1990-01-04,297.28,297.28,297.28,297.28,662501
1990-01-05,298.29,298.29,298.29,298.29,1549710
1990-01-08,299.3,299.3,299.3,299.3,384522
1990-01-09,301.33,301.33,301.33,301.33,367088
1990-01-10,297.28,297.28,297.28,297.28,487190
1990-01-11,296.27,296.27,296.27,296.27,360308
1990-01-12,282.11,282.11,282.11,282.11,2130852
1990-01-15,281.1,281.1,281.1,281.1,105574
1990-01-16,270.99,270.99,270.99,270.99,622790
1990-01-17,272.0,272.0,272.0,272.0,357402
1990-01-18,267.96,267.96,267.96,267.96,277011
1990-01-22,262.9,262.9,262.9,262.9,306068
1990-01-24,259.87,259.87,259.87,259.87,1065426
1990-01-26,262.9,262.9,262.9,262.9,278948
1990-01-29,263.91,263.91,263.91,263.91,336093
1990-01-30,264.92,264.92,264.92,264.92,229551
1990-01-31,263.91,263.91,263.91,263.91,1065426
1990-02-01,261.89,261.89,261.89,261.89,483316
1990-02-02,251.78,251.78,251.78,251.78,968569
1990-02-05,254.81,254.81,254.81,254.81,280885
1990-02-06,250.77,250.77,250.77,250.77,45523
1990-02-07,252.79,252.79,252.79,252.79,665407
1990-02-09,247.73,247.73,247.73,247.73,202431
1990-02-12,242.68,242.68,242.68,242.68,513342
1990-02-13,241.67,241.67,241.67,241.67,93951
1990-02-14,238.63,238.63,238.63,238.63,136568
1990-02-15,233.58,233.58,233.58,233.58,275074
1990-02-16,230.55,230.55,230.55,230.55,154971
1990-02-19,227.51,227.51,227.51,227.51,65863
1990-02-20,226.5,226.5,226.5,226.5,559833
1990-02-21,229.53,229.53,229.53,229.53,916266
1990-02-22,236.61,236.61,236.61,236.61,813598
1990-02-23,232.57,232.57,232.57,232.57,339968
1990-02-26,237.62,237.62,237.62,237.62,3002564
1990-02-28,238.63,238.63,238.63,238.63,968569
1990-03-01,237.62,237.62,237.62,237.62,337062
1990-03-02,240.66,240.66,240.66,240.66,383553
1990-03-05,238.63,238.63,238.63,238.63,410673
1990-03-07,241.67,241.67,241.67,241.67,207274
1990-03-08,248.75,248.75,248.75,248.75,2711993
1990-03-09,249.76,249.76,249.76,249.76,765169
1990-03-12,247.73,247.73,247.73,247.73,620853
1990-03-14,249.76,249.76,249.76,249.76,1259140
1990-03-16,251.78,251.78,251.78,251.78,627633
1990-03-19,249.76,249.76,249.76,249.76,268294
1990-03-20,248.75,248.75,248.75,248.75,106543
1990-03-21,247.73,247.73,247.73,247.73,1162283
1990-03-22,246.72,246.72,246.72,246.72,49397
1990-03-23,248.75,248.75,248.75,248.75,820378
1990-03-26,247.73,247.73,247.73,247.73,700275
1990-03-27,245.71,245.71,245.71,245.71,236331
1990-03-30,242.68,242.68,242.68,242.68,221802
1990-04-02,241.67,241.67,241.67,241.67,106543
1990-04-03,240.66,240.66,240.66,240.66,641193
1990-04-05,237.62,237.62,237.62,237.62,291539
1990-04-06,235.6,235.6,235.6,235.6,48428
1990-04-09,234.59,234.59,234.59,234.59,123008
1990-04-10,232.57,232.57,232.57,232.57,62957
1990-04-11,224.48,224.48,224.48,224.48,968569
1990-04-12,227.51,227.51,227.51,227.51,472662
1990-04-17,228.52,228.52,228.52,228.52,85234
1990-04-18,233.58,233.58,233.58,233.58,519153
1990-04-19,232.57,232.57,232.57,232.57,2905707
1990-04-20,236.61,236.61,236.61,236.61,771949
1990-04-23,234.59,234.59,234.59,234.59,1937138
1990-04-24,233.58,233.58,233.58,233.58,134631
1990-04-26,235.6,235.6,235.6,235.6,505593
1990-04-27,234.59,234.59,234.59,234.59,414548
1990-04-30,233.58,233.58,233.58,233.58,739018
1990-05-01,236.61,236.61,236.61,236.61,291539
1990-05-02,242.68,242.68,242.68,242.68,968569
1990-05-03,243.69,243.69,243.69,243.69,147222
1990-05-10,245.71,245.71,245.71,245.71,576299
1990-05-14,247.73,247.73,247.73,247.73,18403
1990-05-15,244.7,244.7,244.7,244.7,61988
1990-05-16,240.66,240.66,240.66,240.66,672187
1990-05-17,244.7,244.7,244.7,244.7,751610
1990-05-18,243.69,243.69,243.69,243.69,446510
1990-05-21,246.72,246.72,246.72,246.72,1646567
1990-05-22,257.85,257.85,257.85,257.85,38743
1990-05-23,260.88,260.88,260.88,260.88,1355997
1990-05-24,261.89,261.89,261.89,261.89,367088
1990-05-29,262.9,262.9,262.9,262.9,476536
1990-05-30,267.96,267.96,267.96,267.96,488159
1990-06-01,269.98,269.98,269.98,269.98,968569
1990-06-04,268.97,268.97,268.97,268.97,328345
1990-06-05,267.96,267.96,267.96,267.96,607293
1990-06-07,273.01,273.01,273.01,273.01,438762
1990-06-08,274.03,274.03,274.03,274.03,1065426
1990-06-11,273.01,273.01,273.01,273.01,271199
1990-06-12,278.07,278.07,278.07,278.07,2324566
1990-06-13,274.03,274.03,274.03,274.03,1065426
1990-06-14,270.99,270.99,270.99,270.99,1549710
1990-06-15,269.98,269.98,269.98,269.98,40680
1990-06-18,268.97,268.97,268.97,268.97,5811
1990-06-19,253.8,253.8,253.8,253.8,1162283
1990-06-20,245.71,245.71,245.71,245.71,1259140
1990-06-21,246.72,246.72,246.72,246.72,700275
1990-06-22,245.71,245.71,245.71,245.71,554021
