date,open,high,low,close,volume
1990-01-02,138.73,138.73,138.73,138.73,2309504
1990-01-03,140.81,140.81,140.81,140.81,4041633
1990-01-04,142.37,142.37,142.37,142.37,3175569
1990-01-05,142.37,142.37,142.37,142.37,2368204
1990-01-08,141.85,141.85,141.85,141.85,1154752
1990-01-09,142.37,142.37,142.37,142.37,2501963
1990-01-10,141.33,141.33,141.33,141.33,665907
1990-01-11,139.25,139.25,139.25,139.25,3368027
1990-01-12,137.69,137.69,137.69,137.69,2742536
1990-01-15,136.13,136.13,136.13,136.13,631265
1990-01-16,136.65,136.65,136.65,136.65,2309504
1990-01-17,137.17,137.17,137.17,137.17,962293
1990-01-18,135.09,135.09,135.09,135.09,2213275
1990-01-19,133.02,133.02,133.02,133.02,3945403
1990-01-22,131.46,131.46,131.46,131.46,2117046
1990-01-23,129.9,129.9,129.9,129.9,5196385
1990-01-24,128.34,128.34,128.34,128.34,2598192
1990-01-25,127.82,127.82,127.82,127.82,2061233
1990-01-26,127.3,127.3,127.3,127.3,6254908
1990-01-29,128.34,128.34,128.34,128.34,2983110
1990-01-30,127.3,127.3,127.3,127.3,674568
1990-01-31,125.22,125.22,125.22,125.22,7024742
1990-02-01,126.26,126.26,126.26,126.26,5292614
1990-02-02,126.78,126.78,126.78,126.78,2501963
1990-02-05,125.22,125.22,125.22,125.22,2598192
1990-02-06,124.18,124.18,124.18,124.18,2501963
1990-02-07,122.62,122.62,122.62,122.62,1443440
1990-02-08,123.14,123.14,123.14,123.14,749627
1990-02-09,122.62,122.62,122.62,122.62,670719
1990-02-12,121.06,121.06,121.06,121.06,1635899
1990-02-13,120.03,120.03,120.03,120.03,1995797
1990-02-14,124.18,124.18,124.18,124.18,5869990
1990-02-15,124.91,124.91,124.91,124.91,2886880
1990-02-16,124.7,124.7,124.7,124.7,1828358
1990-02-19,122.1,122.1,122.1,122.1,685153
1990-02-20,120.03,120.03,120.03,120.03,903594
1990-02-21,118.99,118.99,118.99,118.99,1635899
1990-02-22,120.03,120.03,120.03,120.03,3175569
1990-02-23,117.43,117.43,117.43,117.43,896858
1990-02-26,120.55,120.55,120.55,120.55,2213275
1990-02-27,123.14,123.14,123.14,123.14,1828358
1990-02-28,122.62,122.62,122.62,122.62,1972702
1990-03-01,121.58,121.58,121.58,121.58,866064
1990-03-02,123.66,123.66,123.66,123.66,1058523
1990-03-05,122.62,122.62,122.62,122.62,855479
1990-03-06,123.14,123.14,123.14,123.14,2092988
1990-03-07,124.7,124.7,124.7,124.7,2117046
