date,open,high,low,close,volume
2009-07-24,1314.0,1369.0,1309.0,1357.0,0
2009-07-28,1372.5,1397.5,1337.5,1353.5,0
2009-07-29,1355.5,1408.5,1337.0,1397.0,0
2009-07-30,1399.0,1419.5,1363.5,1406.0,0
2009-07-31,1419.5,1438.0,1404.0,1420.5,0
2009-08-03,1428.0,1468.0,1408.5,1434.0,0
2009-08-04,1391.5,1395.0,1311.0,1330.0,0
2009-08-05,1350.5,1379.5,1345.5,1372.0,0
2009-08-06,1383.5,1390.0,1348.0,1364.0,0
2009-08-07,1356.0,1379.0,1343.0,1367.5,0
2009-08-10,1368.5,1379.5,1362.0,1375.5,0
2009-08-11,1382.5,1394.5,1370.0,1374.5,0
2009-08-12,1365.0,1389.0,1344.0,1370.0,0
2009-08-13,1382.5,1424.5,1371.5,1420.5,0
2009-08-14,1413.0,1431.0,1387.0,1406.0,0
2009-08-17,1388.5,1388.5,1340.5,1359.5,0
2009-08-18,1381.0,1389.5,1368.0,1379.5,0
2009-08-19,1377.0,1381.5,1350.5,1367.5,0
2009-08-20,1381.5,1394.0,1361.5,1372.5,0
2009-08-21,1364.5,1406.5,1359.0,1399.5,0
2009-08-24,1411.0,1428.5,1406.0,1425.5,0
2009-08-25,1417.5,1417.5,1394.5,1401.5,0
2009-08-28,13.9,14.13,13.82,14.02,0
2009-08-31,14.02,14.02,14.02,14.02,0
2009-09-01,14.06,14.09,13.71,13.71,0
2009-09-02,13.65,13.76,13.52,13.58,0
2009-09-03,13.66,13.74,13.52,13.61,0
2009-09-04,13.73,13.85,13.65,13.75,0
2009-09-08,13.85,14.02,13.79,13.93,0
2009-09-09,14.01,14.18,14.0,14.18,0
2009-09-10,14.21,14.33,14.08,14.27,0
2009-09-11,14.23,14.38,14.15,14.35,0
2009-09-14,14.11,14.42,14.11,14.38,0
2009-09-15,14.42,14.68,14.33,14.62,0
2009-09-16,14.56,15.01,14.56,14.93,0
2009-09-17,14.98,15.22,14.89,15.11,0
2009-09-18,1502.5,1506.5,1487.0,1499.5,0
2009-09-21,1492.0,1492.5,1457.5,1472.5,0
2009-09-23,14.82,15.49,14.82,15.42,0
2009-09-24,15.15,15.4,14.91,15.09,0
2009-09-25,15.1,15.16,14.76,14.93,0
2009-09-28,14.93,15.18,14.8,15.05,0
2009-09-29,15.14,15.45,15.04,15.35,0
2009-09-30,15.33,15.54,15.2,15.4,0
2009-10-02,1498.5,1505.0,1476.5,1484.0,0
2009-10-05,1481.5,1499.5,1475.5,1497.0,0
2009-10-06,1502.5,1555.0,1501.0,1553.0,0
2009-10-07,1556.5,1558.5,1507.5,1526.5,0
2009-10-08,1544.0,1576.5,1537.5,1569.5,0
2009-10-09,1557.0,1564.0,1537.0,1553.5,0
2009-10-12,1560.5,1607.5,1556.0,1592.5,0
2009-10-13,1599.0,1601.5,1562.5,1582.5,0
2009-10-14,1600.5,1604.5,1570.5,1596.5,0
2009-10-15,1604.5,1606.5,1573.5,1575.5,0
2009-10-16,1577.5,1595.0,1532.5,1549.0,0
2009-10-19,1557.5,1573.5,1540.75,1559.25,0
2009-10-20,1571.25,1592.0,1554.5,1561.25,0
2009-10-21,1565.0,1594.25,1518.75,1584.25,0
2009-10-22,1568.0,1594.0,1549.25,1570.25,0
2009-10-23,1598.75,1622.5,1596.5,1608.25,0
2009-10-26,1612.25,1633.75,1568.5,1592.75,0
2009-10-27,1589.0,1589.0,1539.25,1555.75,0
2009-10-28,1554.5,1566.25,1476.75,1484.75,0
2009-10-29,1484.5,1540.75,1469.0,1539.0,0
2009-10-30,1548.5,1558.5,1487.5,1487.5,0
2009-11-02,1504.25,1536.0,1489.5,1519.25,0
2009-11-03,1511.25,1516.25,1446.0,1504.5,0
2009-11-04,1519.25,1557.25,1519.25,1547.75,0
2009-11-05,1520.25,1584.25,1504.5,1577.75,0
2009-11-06,1565.0,1617.75,1548.5,1609.0,0
2009-11-09,1600.5,1620.0,1599.5,1618.0,0
2009-11-10,1616.75,1642.0,1600.25,1632.75,0
2009-11-11,1635.5,1668.0,1621.0,1648.75,0
2009-11-12,1650.0,1686.75,1638.25,1684.25,0
2009-11-13,1684.5,1695.5,1650.5,1662.75,0
2009-11-16,1682.5,1691.5,1669.0,1684.25,0
2009-11-17,1673.5,1685.0,1650.0,1669.0,0
2009-11-18,1668.0,1677.0,1637.75,1640.75,0
2009-11-19,1632.25,1657.25,1620.0,1626.0,0
2009-11-20,1629.75,1646.5,1606.25,1610.5,0
2009-11-23,1629.0,1688.75,1621.0,1676.75,0
2009-11-24,1647.25,1667.25,1637.75,1641.25,0
2009-11-25,1640.5,1657.0,1602.25,1609.75,0
2009-11-26,1584.5,1587.0,1496.5,1513.5,0
2009-11-27,1458.75,1555.75,1447.75,1524.75,0
2009-11-30,1517.5,1539.25,1481.25,1489.25,0
2009-12-01,1506.0,1565.25,1497.25,1560.0,0
2009-12-02,1561.5,1564.75,1525.25,1549.75,0
2009-12-03,1548.5,1578.0,1543.0,1568.25,0
2009-12-04,1551.5,1551.5,1497.75,1516.75,0
2009-12-07,1507.0,1514.0,1485.25,1491.75,0
2009-12-08,1485.75,1512.25,1435.5,1437.25,0
2009-12-09,1432.25,1505.0,1408.75,1468.25,0
2009-12-10,1458.5,1518.75,1458.5,1515.0,0
2009-12-11,1502.25,1545.0,1495.0,1506.25,0
2009-12-14,1586.0,1591.25,1552.25,1570.5,0
2009-12-15,1571.25,1593.25,1532.5,1554.25,0
2009-12-16,1542.5,1577.25,1541.5,1575.5,0
2009-12-17,1559.75,1565.75,1524.25,1539.5,0
2009-12-18,1533.75,1561.0,1500.25,1501.75,0
2009-12-21,1503.0,1557.5,1498.0,1542.5,0
2009-12-22,1539.5,1569.5,1538.25,1551.5,0
2009-12-23,1554.0,1585.75,1551.25,1572.0,0
2009-12-24,1569.5,1579.0,1566.5,1573.5,0
2009-12-29,1571.5,1589.5,1566.0,1585.75,0
2009-12-30,1576.25,1585.75,1556.75,1559.25,0
2009-12-31,1576.25,1576.25,1555.5,1559.0,0
2010-01-04,1566.75,1613.75,1566.75,1613.75,0
2010-01-05,1597.75,1643.5,1597.75,1636.0,0
2010-01-06,1631.75,1644.0,1605.5,1618.75,0
2010-01-07,1617.75,1617.75,1573.75,1607.0,0
2010-01-08,1601.5,1625.0,1594.5,1622.5,0
2010-01-11,1634.75,1636.75,1588.5,1589.5,0
2010-01-12,1590.25,1590.5,1536.0,1549.25,0
2010-01-13,1538.25,1566.5,1536.25,1549.0,0
2010-01-14,1559.0,1574.5,1545.75,1567.25,0
2010-01-15,1558.75,1585.0,1553.5,1553.5,0
2010-01-18,1564.5,1572.75,1551.0,1561.75,0
2010-01-19,1548.0,1571.25,1525.5,1562.25,0
2010-01-20,1550.25,1565.25,1502.5,1511.25,0
2010-01-21,1512.5,1516.75,1430.5,1433.0,0
2010-01-22,1442.5,1446.75,1392.0,1428.25,0
