date,open,high,low,close,volume
2009-07-24,368.8,370.1,363.7,366.8,0
2009-07-28,366.95,370.15,366.85,369.7,0
2009-07-29,368.95,374.7,368.95,373.05,0
2009-07-30,373.8,375.55,371.95,375.55,0
2009-07-31,374.3,375.85,366.65,368.65,0
2009-08-03,368.45,368.6,364.15,364.95,0
2009-08-04,364.7,366.85,362.15,366.45,0
2009-08-05,366.45,374.3,366.45,371.25,0
2009-08-06,371.9,373.8,366.95,367.85,0
2009-08-07,367.0,371.55,364.75,369.55,0
2009-08-10,369.5,370.0,365.05,366.15,0
2009-08-11,365.5,367.3,362.4,364.15,0
2009-08-12,368.45,373.35,364.7,370.25,0
2009-08-13,369.7,374.25,367.2,372.1,0
2009-08-14,372.25,373.2,363.45,365.15,0
2009-08-17,363.75,367.0,361.35,366.2,0
2009-08-18,365.4,367.55,361.95,362.9,0
2009-08-19,362.8,364.8,361.4,361.95,0
2009-08-20,366.05,368.95,363.75,364.95,0
2009-08-21,363.45,371.45,363.25,369.9,0
2009-08-24,370.35,372.9,365.7,372.45,0
2009-08-25,370.5,374.8,369.15,369.55,0
2009-08-28,3.76,3.8,3.75,3.77,0
2009-08-31,3.77,3.77,3.77,3.77,0
2009-09-01,3.78,3.78,3.67,3.67,0
2009-09-02,3.68,3.72,3.67,3.71,0
2009-09-03,3.72,3.75,3.69,3.71,0
2009-09-04,3.71,3.74,3.68,3.72,0
2009-09-08,3.77,3.81,3.76,3.78,0
2009-09-09,3.81,3.83,3.8,3.82,0
2009-09-10,3.82,3.83,3.75,3.78,0
2009-09-11,3.8,3.88,3.8,3.87,0
2009-09-14,3.82,3.89,3.82,3.87,0
2009-09-15,3.88,3.93,3.86,3.92,0
2009-09-16,3.91,3.93,3.88,3.88,0
2009-09-17,3.93,3.93,3.87,3.88,0
2009-09-18,386.75,397.55,386.0,397.0,0
2009-09-21,395.15,397.3,391.75,394.95,0
2009-09-23,3.9,3.97,3.86,3.95,0
2009-09-24,3.95,3.95,3.88,3.89,0
2009-09-25,3.9,3.91,3.87,3.88,0
2009-09-28,3.89,3.94,3.84,3.93,0
2009-09-29,3.93,3.97,3.9,3.97,0
2009-09-30,3.98,4.02,3.96,3.99,0
2009-10-02,388.45,391.3,385.05,390.3,0
2009-10-05,391.2,392.75,384.15,392.75,0
2009-10-06,387.25,397.35,384.6,389.25,0
2009-10-07,389.05,389.05,381.25,382.65,0
2009-10-08,385.8,387.35,381.45,386.1,0
2009-10-09,384.9,386.9,382.95,385.7,0
2009-10-12,385.7,389.25,384.4,384.4,0
2009-10-13,383.95,385.1,376.15,379.45,0
2009-10-14,378.65,378.9,371.75,373.65,0
2009-10-15,375.35,385.5,369.35,380.7,0
2009-10-16,381.5,383.2,377.05,377.95,0
2009-10-19,378.63,381.23,376.13,378.88,0
2009-10-20,379.53,386.13,378.28,384.33,0
2009-10-21,390.38,395.8,388.78,392.75,0
2009-10-22,388.95,392.48,386.1,389.48,0
2009-10-23,390.68,397.15,389.58,390.48,0
2009-10-26,391.03,394.13,386.63,388.6,0
2009-10-27,388.1,398.25,386.25,397.0,0
2009-10-28,394.48,404.85,390.88,404.85,0
2009-10-29,403.1,407.83,397.75,407.3,0
2009-10-30,407.8,412.3,404.53,408.58,0
2009-11-02,406.4,409.78,403.28,409.25,0
2009-11-03,404.4,411.48,400.98,410.8,0
2009-11-04,410.55,413.85,405.98,407.48,0
2009-11-05,406.5,421.03,406.5,418.2,0
2009-11-06,417.9,418.38,414.05,417.7,0
2009-11-09,418.18,420.03,415.3,418.43,0
2009-11-10,419.5,421.73,414.15,414.6,0
2009-11-11,417.33,422.73,417.33,418.5,0
2009-11-12,418.3,429.98,418.3,425.48,0
2009-11-13,424.92,428.03,422.0,424.88,0
2009-11-16,427.45,431.53,425.23,428.63,0
2009-11-17,428.08,432.23,427.6,430.35,0
2009-11-18,432.03,433.88,422.28,423.25,0
2009-11-19,424.0,427.53,421.98,425.1,0
2009-11-20,425.15,425.15,419.38,420.25,0
2009-11-23,422.3,429.95,421.4,427.63,0
