date,open,high,low,close,volume
1990-01-03,210.73,210.73,210.73,210.73,2048613
1990-01-04,214.03,214.03,214.03,214.03,1365742
1990-01-05,211.39,211.39,211.39,211.39,1291992
1990-01-08,212.05,212.05,212.05,212.05,320949
1990-01-09,214.7,214.7,214.7,214.7,1350719
1990-01-10,213.37,213.37,213.37,213.37,915047
1990-01-11,210.07,210.07,210.07,210.07,1074839
1990-01-12,201.48,201.48,201.48,201.48,801690
1990-01-15,202.14,202.14,202.14,202.14,24583
1990-01-16,198.84,198.84,198.84,198.84,1093959
1990-01-17,198.18,198.18,198.18,198.18,501227
1990-01-18,196.86,196.86,196.86,196.86,654190
1990-01-22,194.88,194.88,194.88,194.88,592732
1990-01-23,193.56,193.56,193.56,193.56,581806
1990-01-24,192.9,192.9,192.9,192.9,643264
1990-01-25,192.23,192.23,192.23,192.23,111991
1990-01-26,191.57,191.57,191.57,191.57,913681
1990-01-31,192.23,192.23,192.23,192.23,1264677
1990-02-01,193.56,193.56,193.56,193.56,995626
1990-02-05,194.22,194.22,194.22,194.22,109259
1990-02-06,192.23,192.23,192.23,192.23,91505
1990-02-07,188.93,188.93,188.93,188.93,1365742
1990-02-08,189.59,189.59,189.59,189.59,458889
1990-02-09,187.61,187.61,187.61,187.61,1144492
1990-02-13,185.63,185.63,185.63,185.63,494399
1990-02-14,184.31,184.31,184.31,184.31,316852
1990-02-15,182.33,182.33,182.33,182.33,2959562
1990-02-16,183.65,183.65,183.65,183.65,734769
1990-02-19,181.67,181.67,181.67,181.67,6829
1990-02-20,179.02,179.02,179.02,179.02,225347
1990-02-21,181.67,181.67,181.67,181.67,310023
1990-02-22,179.02,179.02,179.02,179.02,290903
1990-02-23,177.04,177.04,177.04,177.04,543565
1990-02-26,177.7,177.7,177.7,177.7,1365742
1990-03-01,175.06,175.06,175.06,175.06,1185464
1990-03-02,177.04,177.04,177.04,177.04,73750
1990-03-05,174.4,174.4,174.4,174.4,86042
1990-03-07,173.08,173.08,173.08,173.08,2868058
1990-03-08,174.4,174.4,174.4,174.4,405625
1990-03-09,173.74,173.74,173.74,173.74,1365742
1990-03-12,174.4,174.4,174.4,174.4,226713
1990-03-14,175.06,175.06,175.06,175.06,350996
1990-03-15,175.72,175.72,175.72,175.72,580440
1990-03-16,177.7,177.7,177.7,177.7,1143126
1990-03-19,176.38,176.38,176.38,176.38,1162246
1990-03-20,177.7,177.7,177.7,177.7,142037
1990-03-21,175.06,175.06,175.06,175.06,299097
1990-03-22,175.72,175.72,175.72,175.72,258125
1990-03-23,173.74,173.74,173.74,173.74,1126737
1990-03-26,175.06,175.06,175.06,175.06,801690
1990-03-27,172.42,172.42,172.42,172.42,376945
1990-03-30,169.11,169.11,169.11,169.11,829005
1990-04-02,164.49,164.49,164.49,164.49,1047524
1990-04-03,167.13,167.13,167.13,167.13,1502316
1990-04-04,163.83,163.83,163.83,163.83,245834
1990-04-05,165.15,165.15,165.15,165.15,681505
1990-04-06,166.47,166.47,166.47,166.47,1072107
1990-04-09,164.49,164.49,164.49,164.49,1365742
1990-04-10,159.2,159.2,159.2,159.2,482107
1990-04-11,161.85,161.85,161.85,161.85,319584
1990-04-12,164.49,164.49,164.49,164.49,2048613
1990-04-17,165.15,165.15,165.15,165.15,181644
1990-04-18,169.11,169.11,169.11,169.11,1365742
1990-04-19,170.44,170.44,170.44,170.44,2868058
1990-04-20,173.74,173.74,173.74,173.74,329144
1990-04-24,178.36,178.36,178.36,178.36,1365742
1990-04-25,177.04,177.04,177.04,177.04,386505
1990-04-26,175.72,175.72,175.72,175.72,1502316
1990-04-27,174.4,174.4,174.4,174.4,614584
1990-04-30,171.1,171.1,171.1,171.1,727940
1990-05-01,173.08,173.08,173.08,173.08,352361
1990-05-02,175.72,175.72,175.72,175.72,2185187
1990-05-04,177.04,177.04,177.04,177.04,1133566
1990-05-08,181.0,181.0,181.0,181.0,341435
1990-05-09,180.34,180.34,180.34,180.34,905487
1990-05-10,179.68,179.68,179.68,179.68,1203218
1990-05-11,179.02,179.02,179.02,179.02,1502316
1990-05-14,182.99,182.99,182.99,182.99,794862
1990-05-16,183.65,183.65,183.65,183.65,468449
1990-05-17,188.27,188.27,188.27,188.27,621412
1990-05-18,186.95,186.95,186.95,186.95,510787
1990-05-21,181.67,181.67,181.67,181.67,4097225
1990-05-22,180.34,180.34,180.34,180.34,2321761
1990-05-24,176.38,176.38,176.38,176.38,1365742
1990-05-25,174.4,174.4,174.4,174.4,595463
1990-05-29,177.04,177.04,177.04,177.04,865880
1990-05-30,180.34,180.34,180.34,180.34,1238728
1990-06-01,184.31,184.31,184.31,184.31,417917
1990-06-04,187.61,187.61,187.61,187.61,293634
1990-06-05,190.25,190.25,190.25,190.25,1365742
1990-06-06,182.33,182.33,182.33,182.33,1227802
1990-06-07,184.31,184.31,184.31,184.31,146134
1990-06-11,183.65,183.65,183.65,183.65,523079
1990-06-12,181.67,181.67,181.67,181.67,2731483
1990-06-13,182.99,182.99,182.99,182.99,654190
1990-06-14,183.65,183.65,183.65,183.65,255394
1990-06-15,184.31,184.31,184.31,184.31,202130
1990-06-18,182.33,182.33,182.33,182.33,801690
1990-06-19,185.63,185.63,185.63,185.63,942362
1990-06-20,187.61,187.61,187.61,187.61,319584
1990-06-22,191.57,191.57,191.57,191.57,829005
1990-06-25,196.2,196.2,196.2,196.2,857686
1990-06-26,198.18,198.18,198.18,198.18,510787
1990-06-27,194.88,194.88,194.88,194.88,1175904
1990-06-28,193.56,193.56,193.56,193.56,300463
1990-06-29,193.56,193.56,190.91,193.56,0
1990-07-02,196.2,196.2,190.25,192.9,642804
1990-07-03,190.25,190.25,182.99,186.29,3350875
1990-07-04,184.31,186.29,182.33,184.31,456165
1990-07-05,181.67,184.97,181.67,183.65,405707
1990-07-06,186.45,188.27,183.65,185.63,594641
1990-07-09,186.29,186.95,182.99,184.97,86991
1990-07-10,186.29,186.29,183.65,184.97,513769
1990-07-11,184.31,186.62,184.31,187.61,532669
1990-07-12,192.9,194.22,189.59,190.91,244667
1990-07-13,189.59,189.59,182.99,186.95,2085703
1990-07-16,188.27,188.27,184.97,186.95,180628
1990-07-17,186.29,191.57,186.29,188.93,482709
1990-07-18,188.93,189.59,186.95,188.27,2168786
1990-07-19,186.95,188.27,184.97,186.29,547957
1990-07-20,186.29,187.61,180.34,182.99,4266243
1990-07-23,179.68,182.99,175.64,175.72,889719
1990-07-24,175.72,177.7,174.4,177.04,296591
1990-07-25,186.29,186.29,177.04,179.68,1769870
1990-07-26,179.02,183.65,178.36,181.0,569359
1990-07-27,181.67,186.29,181.67,183.65,413548
1990-07-30,184.31,184.97,181.0,183.65,501074
1990-07-31,184.97,184.97,183.65,184.97,183150
1990-08-01,184.97,189.59,184.97,189.59,1712267
1990-08-02,187.53,189.59,180.34,181.67,1193800
1990-08-03,178.36,181.67,177.04,177.04,140574
1990-08-06,170.44,171.76,162.51,169.11,368917
1990-08-07,167.13,176.38,167.13,173.74,494386
1990-08-08,172.09,173.74,170.44,174.4,101207
1990-08-09,175.06,175.06,171.76,173.74,4439
1990-08-10,172.42,173.74,163.83,165.81,714687
1990-08-13,161.85,163.83,158.54,160.53,162781
1990-08-14,162.51,166.47,161.85,163.83,197239
1990-08-15,166.47,167.79,163.83,165.81,389717
1990-08-16,167.13,167.13,161.85,163.83,876507
1990-08-17,158.54,159.87,155.24,157.22,354702
1990-08-20,158.54,158.54,157.22,158.54,176170
1990-08-21,157.22,157.22,151.94,152.6,365541
1990-08-22,151.94,158.54,151.94,155.9,579707
1990-08-23,149.96,152.6,145.99,149.3,1208304
1990-08-24,152.6,153.26,149.3,151.94,883437
1990-08-28,155.24,155.24,151.2,153.92,1360586
1990-08-29,153.26,155.24,150.62,151.94,1919409
1990-08-30,154.58,155.24,151.94,153.92,3169974
1990-08-31,151.94,155.24,151.94,153.26,181024
1990-09-03,152.6,154.58,150.62,151.94,200812
1990-09-04,151.94,151.94,148.64,150.62,80500
1990-09-05,147.97,149.96,145.99,148.64,348877
1990-09-06,147.31,147.31,143.35,145.33,139803
1990-09-07,144.67,147.97,143.35,145.99,547729
1990-09-10,148.64,149.96,145.99,147.97,366326
1990-09-11,145.33,149.96,145.33,147.31,2175188
1990-09-12,146.65,151.94,146.65,147.97,91648
1990-09-13,145.33,147.31,138.73,139.39,682381
1990-09-14,138.07,140.05,134.1,134.1,753668
1990-09-17,133.44,134.1,130.14,132.78,993502
1990-09-18,132.12,140.05,126.17,132.12,1515614
1990-09-19,131.05,131.05,122.21,127.5,1922213
1990-09-20,125.51,126.84,122.87,123.53,974190
1990-09-21,124.19,128.82,124.19,127.5,170270
1990-09-24,123.53,123.53,122.87,122.87,486223
1990-09-25,125.51,125.51,118.91,120.89,314788
1990-09-26,123.53,128.16,123.53,125.51,812657
1990-09-27,126.84,131.46,126.84,127.5,802142
1990-09-28,124.19,128.16,123.53,126.17,637158
1990-10-01,128.82,134.76,128.82,134.76,982782
1990-10-02,138.73,140.05,136.74,136.08,547033
1990-10-03,134.1,138.07,133.44,136.74,132710
1990-10-04,135.09,138.73,132.78,135.42,138173
