date,open,high,low,close,volume
1990-01-02,406.7,406.7,406.7,406.7,1672200
1990-01-04,402.2,402.2,402.2,402.2,2305800
1990-01-05,399.4,399.4,399.4,399.4,2872800
1990-01-08,390.0,390.0,390.0,390.0,3607200
1990-01-09,391.1,391.1,391.1,391.1,1530000
1990-01-10,383.9,383.9,383.9,383.9,5783401
1990-01-11,385.6,385.6,385.6,385.6,34668004
1990-01-12,380.0,380.0,380.0,380.0,1729800
1990-01-15,373.9,373.9,373.9,373.9,2426400
1990-01-16,370.0,370.0,370.0,370.0,3245400
1990-01-17,376.7,376.7,376.7,376.7,2307600
1990-01-18,373.9,373.9,373.9,373.9,2358000
1990-01-19,376.7,376.7,376.7,376.7,1139400
1990-01-22,370.6,370.6,370.6,370.6,639000
1990-01-23,371.7,371.7,371.7,371.7,2287800
1990-01-24,369.4,369.4,369.4,369.4,2417400
1990-01-25,372.2,372.2,372.2,372.2,3524400
1990-01-26,371.1,371.1,371.1,371.1,2185200
1990-01-30,370.6,370.6,370.6,370.6,1706400
1990-02-01,375.0,375.0,375.0,375.0,4064401
1990-02-02,374.4,374.4,374.4,374.4,1753200
1990-02-05,373.9,373.9,373.9,373.9,1515600
1990-02-06,368.3,368.3,368.3,368.3,1197000
1990-02-07,366.1,366.1,366.1,366.1,3106800
1990-02-08,368.3,368.3,368.3,368.3,3533400
1990-02-09,363.3,363.3,363.3,363.3,1881000
1990-02-12,361.7,361.7,361.7,361.7,336600
1990-02-13,360.6,360.6,360.6,360.6,1218600
1990-02-14,358.3,358.3,358.3,358.3,2494800
1990-02-15,360.0,360.0,360.0,360.0,1002600
1990-02-16,363.9,363.9,363.9,363.9,2557800
1990-02-19,359.4,359.4,359.4,359.4,1067400
1990-02-20,353.3,353.3,353.3,353.3,2806200
1990-02-21,350.0,350.0,350.0,350.0,3353400
1990-02-23,343.9,343.9,343.9,343.9,2808000
1990-02-26,347.2,347.2,347.2,347.2,3036600
1990-02-27,350.0,350.0,350.0,350.0,5322601
1990-02-28,348.9,348.9,348.9,348.9,2872800
1990-03-01,345.6,345.6,345.6,345.6,2399400
1990-03-02,349.4,349.4,349.4,349.4,1033200
1990-03-05,348.3,348.3,348.3,348.3,2403000
1990-03-06,347.8,347.8,347.8,347.8,0
1990-03-07,352.8,352.8,352.8,352.8,846000
1990-03-08,357.8,357.8,357.8,357.8,2043000
1990-03-09,360.6,360.6,360.6,360.6,743400
1990-03-12,362.2,362.2,362.2,362.2,973800
1990-03-13,365.6,365.6,365.6,365.6,973800
1990-03-14,366.1,366.1,366.1,366.1,1989000
1990-03-15,368.9,368.9,368.9,368.9,1879200
1990-03-16,375.6,375.6,375.6,375.6,2093400
1990-03-19,369.4,369.4,369.4,369.4,2300400
1990-03-20,368.3,368.3,368.3,368.3,3765601
1990-03-21,369.4,369.4,369.4,369.4,2809800
1990-03-22,368.9,368.9,368.9,368.9,2637000
1990-03-23,369.4,369.4,369.4,369.4,1348200
1990-03-27,367.2,367.2,367.2,367.2,1315800
1990-03-28,369.4,369.4,369.4,369.4,0
1990-03-29,371.7,371.7,371.7,371.7,1461600
1990-03-30,367.8,367.8,367.8,367.8,2232000
1990-04-02,366.1,366.1,366.1,366.1,3880801
1990-04-03,367.8,367.8,367.8,367.8,5009401
1990-04-04,363.9,363.9,363.9,363.9,3049200
1990-04-05,367.8,367.8,367.8,367.8,2250000
1990-04-06,368.3,368.3,368.3,368.3,4696201
1990-04-09,363.3,363.3,363.3,363.3,1022400
1990-04-10,360.6,360.6,360.6,360.6,2116800
1990-04-11,361.1,361.1,361.1,361.1,2910600
1990-04-12,360.0,360.0,360.0,360.0,2557800
1990-04-17,360.6,360.6,360.6,360.6,1197000
1990-04-18,361.7,361.7,361.7,361.7,2665800
1990-04-19,359.4,359.4,359.4,359.4,1992600
1990-04-20,357.2,357.2,357.2,357.2,2048400
1990-04-23,347.2,347.2,347.2,347.2,1594800
1990-04-24,348.3,348.3,348.3,348.3,1317600
1990-04-25,342.8,342.8,342.8,342.8,0
1990-04-26,343.9,343.9,343.9,343.9,1634400
1990-04-27,341.7,341.7,341.7,341.7,0
1990-04-30,342.2,342.2,342.2,342.2,1209600
1990-05-02,347.2,347.2,347.2,347.2,1945800
1990-05-03,352.2,352.2,352.2,352.2,1215000
1990-05-04,356.1,356.1,356.1,356.1,1987200
1990-05-08,356.7,356.7,356.7,356.7,0
1990-05-09,354.2,354.2,354.2,354.2,1143000
1990-05-10,353.9,353.9,353.9,353.9,0
1990-05-11,359.4,359.4,359.4,359.4,2055600
1990-05-14,370.6,370.6,370.6,370.6,4105801
1990-05-17,378.3,378.3,378.3,378.3,3650400
1990-05-18,375.0,375.0,375.0,375.0,2244600
1990-05-21,373.9,373.9,373.9,373.9,1440000
1990-05-22,375.0,375.0,375.0,375.0,2354400
1990-05-23,371.1,371.1,371.1,371.1,2748600
1990-05-24,368.3,368.3,368.3,368.3,2494800
1990-05-25,368.9,368.9,368.9,368.9,1393200
1990-05-29,372.8,372.8,372.8,372.8,817200
1990-05-30,377.2,377.2,377.2,377.2,4937401
1990-05-31,380.6,380.6,380.6,380.6,4125601
1990-06-01,385.0,385.0,385.0,385.0,2044800
1990-06-04,387.8,387.8,387.8,387.8,831600
1990-06-05,392.8,392.8,392.8,392.8,2230200
1990-06-06,391.7,391.7,391.7,391.7,1416600
1990-06-07,387.8,387.8,387.8,387.8,2642400
1990-06-08,385.0,385.0,385.0,385.0,1978
1990-06-11,380.0,380.0,380.0,380.0,1985400
1990-06-12,382.2,382.2,382.2,382.2,781200
1990-06-13,385.0,385.0,385.0,385.0,3286800
1990-06-14,388.3,388.3,388.3,388.3,5324401
1990-06-15,383.3,383.3,383.3,383.3,3825001
1990-06-18,378.9,378.9,378.9,378.9,1063800
1990-06-19,381.1,381.1,381.1,381.1,2219400
1990-06-20,383.3,383.3,383.3,383.3,1242000
1990-06-22,384.4,384.4,384.4,384.4,586800
1990-06-25,390.6,390.6,390.6,390.6,1128600
1990-06-26,391.7,391.7,391.7,391.7,1557000
1990-06-27,390.6,390.6,390.6,390.6,1701000
1990-06-28,391.1,391.1,391.1,391.1,1260000
1990-06-29,392.2,397.2,390.0,395.6,1639656
1990-07-02,392.8,397.2,391.7,395.0,511594
1990-07-03,396.1,397.8,392.2,394.4,1624936
1990-07-04,395.6,395.6,385.0,387.2,1353985
1990-07-05,387.8,387.8,379.4,382.2,1224180
1990-07-06,383.3,388.3,379.4,385.0,731227
1990-07-09,382.2,386.1,378.3,380.0,1164622
1990-07-10,382.8,382.8,375.0,375.6,1729645
1990-07-11,376.1,381.7,375.0,380.6,1418805
1990-07-12,384.4,387.2,379.4,383.3,1757387
1990-07-13,385.0,388.9,382.2,387.2,1106941
1990-07-16,392.8,398.3,388.9,396.7,2581613
1990-07-17,394.4,403.9,394.4,400.0,2457544
1990-07-18,402.2,402.2,395.6,397.2,4533670
1990-07-19,397.2,397.8,387.2,387.8,3118293
1990-07-20,387.8,391.7,384.4,389.4,1810143
1990-07-23,390.6,391.7,383.3,385.6,1471254
1990-07-24,388.9,388.9,383.3,386.1,1224990
1990-07-25,386.1,391.7,386.1,390.6,1062985
1990-07-26,388.9,394.4,387.8,388.9,1422137
1990-07-27,387.8,388.9,385.0,386.7,1674582
1990-07-30,382.2,386.1,381.7,385.0,1553058
1990-07-31,388.9,388.9,385.0,386.7,617144
1990-08-01,387.2,394.4,387.2,391.1,1033521
1990-08-02,388.9,391.7,381.7,382.8,674532
1990-08-03,382.8,383.3,370.6,372.8,1733697
1990-08-06,366.7,368.3,360.0,363.3,2177914
1990-08-07,366.7,373.3,362.8,368.3,2584251
1990-08-08,367.8,372.2,365.0,370.0,2638444
1990-08-09,373.3,375.0,369.4,372.2,1243258
1990-08-10,370.6,375.0,359.4,367.2,5791553
1990-08-13,362.2,366.7,361.1,363.3,2868047
1990-08-14,368.3,371.1,365.0,368.9,3835523
1990-08-15,369.4,375.0,367.8,372.8,3447756
1990-08-16,371.1,373.9,367.8,368.3,3411463
1990-08-17,363.9,370.6,360.0,365.0,2520411
1990-08-20,362.2,365.6,355.6,357.2,1702780
1990-08-21,355.6,358.3,344.4,347.2,2660575
1990-08-22,346.7,351.7,342.8,346.1,1268192
