date,open,high,low,close,volume
1998-03-11,42.0,42.0,42.0,42.0,69708
1998-03-12,40.0,40.0,40.0,40.0,47263
1998-03-13,42.5,42.5,42.5,42.5,46275
1998-03-16,44.0,44.0,44.0,44.0,44145
1998-03-17,46.2,46.2,46.2,46.2,32727
1998-03-18,48.0,48.0,48.0,48.0,39009
1998-03-19,47.8,47.8,47.8,47.8,31602
1998-03-20,46.0,46.0,46.0,46.0,31844
1998-03-23,44.0,44.0,44.0,44.0,11360
1998-03-24,42.5,42.5,42.5,42.5,19459
1998-03-25,42.6,42.6,42.6,42.6,15533
1998-03-26,43.2,43.2,43.2,43.2,28654
1998-03-27,42.8,42.8,42.8,42.8,15035
1998-03-30,43.0,43.0,43.0,43.0,28813
1998-03-31,42.8,42.8,42.8,42.8,23441
1998-04-01,42.8,42.8,42.8,42.8,25373
1998-04-02,43.0,43.0,43.0,43.0,13370
1998-04-06,42.8,42.8,42.8,42.8,5791
1998-04-07,43.1,43.1,43.1,43.1,13070
1998-04-08,43.2,43.2,43.2,43.2,17590
1998-04-09,43.0,43.0,43.0,43.0,25002
1998-04-14,43.0,43.0,43.0,43.0,4710
1998-04-15,42.7,42.7,42.7,42.7,4842
1998-04-16,42.0,42.0,42.0,42.0,4983
1998-04-17,41.0,41.0,41.0,41.0,4163
1998-04-20,41.0,41.0,41.0,41.0,6847
1998-04-21,39.4,39.4,39.4,39.4,8247
1998-04-22,39.0,39.0,39.0,39.0,10344
1998-04-23,37.5,37.5,37.5,37.5,6381
1998-04-24,39.5,39.5,39.5,39.5,10272
1998-04-27,38.5,38.5,38.5,38.5,6291
1998-04-28,37.0,37.0,37.0,37.0,7105
1998-04-29,38.8,38.8,38.8,38.8,9117
1998-04-30,39.4,39.4,39.4,39.4,12030
1998-05-04,43.3,43.3,43.3,43.3,42300
1998-05-05,46.0,46.0,46.0,46.0,77531
1998-05-06,50.5,50.5,50.5,50.5,100962
1998-05-07,52.0,52.0,52.0,52.0,137947
1998-05-08,48.2,48.2,48.2,48.2,9993
1998-05-11,45.0,45.0,45.0,45.0,13107
1998-05-12,41.5,41.5,41.5,41.5,7997
1998-05-13,42.3,42.3,42.3,42.3,4977
1998-05-14,41.8,41.8,41.8,41.8,5638
1998-05-15,40.7,40.7,40.7,40.7,1541
1998-05-18,40.8,40.8,40.8,40.8,2936
1998-05-19,39.8,39.8,39.8,39.8,6383
1998-05-20,39.8,39.8,39.8,39.8,2280
1998-05-21,41.0,41.0,41.0,41.0,2315
1998-05-22,41.0,41.0,41.0,41.0,1840
1998-05-25,38.7,38.7,38.7,38.7,2249
1998-05-26,38.1,38.1,38.1,38.1,1623
1998-05-27,37.0,37.0,37.0,37.0,3809
1998-05-28,35.0,35.0,35.0,35.0,3265
1998-05-29,36.9,36.9,36.9,36.9,13340
1998-06-01,36.0,36.0,36.0,36.0,1966
1998-06-02,35.1,35.1,35.1,35.1,8216
1998-06-03,36.0,36.0,36.0,36.0,1681
1998-06-04,37.7,37.7,37.7,37.7,4525
1998-06-05,37.9,37.9,37.9,37.9,1987
1998-06-08,41.6,41.6,41.6,41.6,5714
1998-06-09,38.0,38.0,38.0,38.0,1183
1998-06-10,37.0,37.0,37.0,37.0,1314
1998-06-15,40.0,40.0,40.0,40.0,3756
1998-06-16,37.1,37.1,37.1,37.1,1220
1998-06-17,40.0,40.0,40.0,40.0,2527
1998-06-18,39.9,39.9,39.9,39.9,2755
1998-06-19,36.5,36.5,36.5,36.5,4798
1998-06-22,36.1,36.1,36.1,36.1,15608
1998-06-23,37.0,37.0,37.0,37.0,6484
1998-06-24,37.0,37.0,37.0,37.0,7583
1998-06-25,38.0,38.0,38.0,38.0,1413
1998-06-26,38.0,38.0,38.0,38.0,3844
1998-06-29,41.7,41.7,41.7,41.7,20000
1998-06-30,42.0,42.0,42.0,42.0,11380
1998-07-01,39.0,39.0,39.0,39.0,1151
1998-07-02,40.5,40.5,40.5,40.5,4424
1998-07-03,40.2,40.2,40.2,40.2,2241
1998-07-06,39.1,39.1,39.1,39.1,837
1998-07-07,39.1,39.1,39.1,39.1,1752
1998-07-08,39.0,39.0,39.0,39.0,2418
1998-07-09,38.5,38.5,38.5,38.5,6116
1998-07-10,38.4,38.4,38.4,38.4,3243
1998-07-13,38.0,38.0,38.0,38.0,1094
