date,open,high,low,close,volume
2015-05-07,35.25,36.0,34.6,35.0,445934
2015-05-08,35.58,35.6,35.05,35.13,23827
2015-05-11,35.5,35.5,35.0,35.0,85690
2015-05-12,35.1,35.1,34.9,34.9,97753
2015-05-13,34.81,34.95,34.3,34.3,3140
2015-05-14,34.4,34.85,34.05,34.85,2613
2015-05-15,34.5,35.2,34.5,35.2,3016
2015-05-18,35.35,35.5,34.82,34.82,13626
2015-05-19,34.7,34.85,34.7,34.8,57928
2015-05-20,34.75,35.4,34.75,34.8,2438
2015-05-21,35.5,35.5,35.01,35.01,505
2015-05-22,34.72,35.48,34.72,34.82,49004
2015-05-25,35.38,35.38,35.38,35.38,145
2015-05-26,34.85,34.85,34.85,34.85,63
2015-05-27,34.51,35.0,34.51,34.75,77478
2015-05-28,34.7,34.84,34.52,34.75,40900
2015-05-29,34.41,34.9,34.41,34.8,13155
2015-06-01,34.7,34.85,34.55,34.75,6014
2015-06-02,34.7,34.75,34.5,34.75,25680
2015-06-03,34.5,34.8,34.5,34.68,15199
2015-06-05,34.65,34.65,34.6,34.6,32675
2015-06-08,34.58,34.8,34.58,34.8,5520
2015-06-09,34.6,34.6,34.6,34.6,33436
2015-06-10,34.6,34.7,34.52,34.56,12850
2015-06-11,34.7,34.7,34.52,34.55,49794
2015-06-12,34.65,34.65,34.55,34.55,7679
2015-06-15,34.8,34.8,34.6,34.6,3310
2015-06-16,34.6,34.75,34.48,34.75,21427
2015-06-17,34.8,34.8,34.65,34.7,14524
2015-06-18,34.75,34.85,34.75,34.78,3781
2015-06-19,34.75,34.9,34.48,34.48,12203
2015-06-22,34.51,34.7,34.51,34.6,3952
2015-06-23,34.8,34.8,34.6,34.6,6412
2015-06-24,34.61,34.9,34.61,34.77,13837
2015-06-25,34.7,34.8,34.7,34.7,1112
2015-06-26,34.6,34.6,34.54,34.58,622
2015-06-29,34.0,34.0,31.35,33.7,10057
2015-06-30,33.51,33.7,33.51,33.67,1051
2015-07-01,33.67,34.88,33.67,34.86,14142
2015-07-02,34.88,34.92,34.2,34.85,11191
2015-07-03,34.85,34.92,34.19,34.5,15246
2015-07-06,34.25,34.9,34.05,34.9,43507
2015-07-07,34.5,34.7,34.5,34.5,2031
2015-07-08,34.8,34.8,34.5,34.5,15814
2015-07-09,34.6,34.6,34.2,34.5,4575
2015-07-10,34.5,34.79,34.45,34.5,70382
2015-07-13,34.7,34.7,34.0,34.28,16795
2015-07-14,34.34,34.37,34.0,34.25,11416
2015-07-15,34.25,34.6,34.02,34.6,3783
2015-07-16,34.7,35.91,34.6,35.7,34353
2015-07-17,35.51,36.63,35.51,36.62,247329
2015-07-20,36.62,36.62,36.05,36.5,17220
2015-07-21,36.5,36.88,36.2,36.88,9176
2015-07-22,36.9,36.9,36.71,36.9,10153
2015-07-23,36.8,36.9,36.61,36.7,5135
2015-07-24,36.9,37.0,36.8,37.0,38543
2015-07-27,37.15,37.3,36.8,36.81,7018
2015-07-28,36.82,37.18,36.82,37.0,2388
2015-07-29,37.0,37.15,36.98,36.98,11520
2015-07-30,36.98,37.0,36.98,37.0,818
2015-07-31,37.0,37.6,37.0,37.6,15239
2015-08-03,37.6,38.0,37.6,38.0,6156
2015-08-04,38.0,38.0,37.0,37.0,1978
2015-08-05,37.0,37.7,37.0,37.55,88523
2015-08-06,37.55,37.75,37.1,37.45,5567
2015-08-07,37.45,37.45,37.0,37.15,4334
2015-08-10,37.15,37.15,37.0,37.0,3209
2015-08-11,37.0,37.1,36.8,37.0,18871
2015-08-12,37.0,37.0,36.81,36.86,2870
2015-08-13,36.86,37.1,36.86,37.0,3347
2015-08-14,36.9,37.0,36.8,36.86,5657
2015-08-17,36.8,37.0,36.8,36.95,2096
2015-08-18,36.95,37.1,36.95,37.1,2077
2015-08-19,37.2,37.3,36.95,37.05,6863
2015-08-20,37.05,37.05,36.98,37.05,12949
2015-08-21,36.98,37.35,36.91,37.05,4867
2015-08-24,37.0,37.0,35.5,36.0,12838
2015-08-25,36.0,36.67,36.0,36.5,23901
2015-08-26,36.5,36.55,36.3,36.5,1415
