date,open,high,low,close,volume
2009-07-24,449.75,454.25,448.5,450.0,0
2009-07-28,460.13,460.37,447.5,449.25,0
2009-07-29,451.87,456.0,448.0,448.63,0
2009-07-30,449.25,455.37,440.25,453.75,0
2009-07-31,452.13,463.13,450.75,461.5,0
2009-08-03,464.7,467.5,456.0,463.1,0
2009-08-04,463.4,468.1,458.75,467.5,0
2009-08-05,466.8,490.0,466.75,477.75,0
2009-08-06,479.8,479.85,465.4,466.1,0
2009-08-07,464.95,471.75,462.2,467.95,0
2009-08-10,466.55,479.2,463.1,476.25,0
2009-08-11,468.25,473.0,459.05,462.3,0
2009-08-12,461.3,469.1,458.45,465.75,0
2009-08-13,467.65,480.45,465.65,474.05,0
2009-08-14,476.8,478.65,470.05,472.05,0
2009-08-17,470.75,475.05,461.85,469.9,0
2009-08-18,472.4,472.6,463.25,471.3,0
2009-08-19,468.1,472.5,467.1,471.7,0
2009-08-20,477.2,508.25,474.7,507.75,0
2009-08-21,505.75,505.75,493.85,504.5,0
2009-08-24,517.75,538.25,513.75,523.25,0
2009-08-25,521.75,523.25,509.0,521.0,0
2009-08-28,5.2,5.24,5.17,5.22,0
2009-08-31,5.22,5.22,5.22,5.22,0
2009-09-01,5.21,5.24,5.07,5.08,0
2009-09-02,5.08,5.08,4.95,5.01,0
2009-09-03,5.06,5.07,4.95,4.97,0
2009-09-04,4.9,5.06,4.89,5.04,0
2009-09-08,5.19,5.29,5.17,5.2,0
2009-09-09,5.16,5.23,5.15,5.23,0
2009-09-10,5.24,5.35,5.23,5.27,0
2009-09-11,5.29,5.38,5.29,5.36,0
2009-09-14,5.32,5.39,5.3,5.35,0
2009-09-15,5.34,5.36,5.29,5.34,0
2009-09-16,5.37,5.5,5.36,5.41,0
2009-09-17,5.44,5.47,5.34,5.38,0
2009-09-18,538.25,538.25,532.25,534.75,0
2009-09-21,535.75,541.25,532.25,536.25,0
2009-09-23,5.43,5.57,5.43,5.51,0
2009-09-24,5.49,5.5,5.32,5.36,0
2009-09-25,5.38,5.46,5.35,5.39,0
2009-09-28,5.36,5.41,5.28,5.39,0
2009-09-29,5.41,5.51,5.38,5.45,0
2009-09-30,5.46,5.49,5.33,5.35,0
2009-10-02,536.25,537.25,520.75,526.75,0
2009-10-05,526.75,533.25,521.5,530.75,0
2009-10-06,533.0,549.5,531.75,545.5,0
