date,open,high,low,close,volume
1990-01-02,398.4,398.4,398.4,398.4,448879
1990-01-03,403.0,403.0,403.0,403.0,2107185
1990-01-04,414.3,414.3,414.3,414.3,2744241
1990-01-05,423.4,423.4,423.4,423.4,836013
1990-01-08,423.4,423.4,423.4,423.4,1274112
1990-01-09,433.6,433.6,433.6,433.6,2254198
1990-01-10,424.5,424.5,424.5,424.5,2058181
1990-01-11,427.5,427.5,427.5,427.5,1274112
1990-01-12,421.4,421.4,421.4,421.4,980086
1990-01-15,417.3,417.3,417.3,417.3,426337
1990-01-16,416.3,416.3,416.3,416.3,733104
1990-01-17,423.4,423.4,423.4,423.4,1372120
1990-01-18,413.2,413.2,413.2,413.2,502784
1990-01-19,412.2,412.2,412.2,412.2,5898158
1990-01-22,401.0,401.0,401.0,401.0,401835
1990-01-23,407.1,407.1,407.1,407.1,822292
1990-01-24,403.0,403.0,403.0,403.0,980086
1990-01-25,405.1,405.1,405.1,405.1,631175
1990-01-26,408.1,408.1,408.1,408.1,666458
1990-01-29,407.1,407.1,407.1,407.1,980086
1990-01-30,404.0,404.0,404.0,404.0,373413
1990-01-31,407.1,407.1,407.1,407.1,2548224
1990-02-01,411.2,411.2,411.2,411.2,1666146
1990-02-02,412.2,412.2,412.2,412.2,815432
1990-02-05,410.2,410.2,410.2,410.2,453780
1990-02-06,403.0,403.0,403.0,403.0,640976
1990-02-07,401.0,401.0,401.0,401.0,4704413
1990-02-08,398.9,398.9,398.9,398.9,1470129
1990-02-09,389.8,389.8,389.8,389.8,1764155
1990-02-12,387.7,387.7,387.7,387.7,1078095
1990-02-13,386.7,386.7,386.7,386.7,761527
1990-02-14,343.9,343.9,343.9,343.9,650777
1990-02-15,389.8,389.8,389.8,389.8,3332292
1990-02-16,394.9,394.9,394.9,394.9,408696
1990-02-19,388.7,388.7,388.7,388.7,440059
1990-02-20,385.7,385.7,385.7,385.7,570410
1990-02-21,386.7,386.7,386.7,386.7,444959
1990-02-22,391.8,391.8,391.8,391.8,980086
1990-02-23,389.8,389.8,389.8,389.8,1562257
1990-02-26,400.0,400.0,400.0,400.0,980086
1990-02-27,404.0,404.0,404.0,404.0,1372120
1990-02-28,396.9,396.9,396.9,396.9,836013
1990-03-01,390.8,390.8,390.8,390.8,439079
1990-03-02,391.8,391.8,391.8,391.8,431238
1990-03-05,382.6,382.6,382.6,382.6,880117
1990-03-06,376.5,376.5,376.5,376.5,1470129
1990-03-07,386.7,386.7,386.7,386.7,2401211
1990-03-08,384.7,384.7,384.7,384.7,492003
1990-03-09,380.6,380.6,380.6,380.6,1078095
