name,timestamp,open,high,close,low,volume
CCC,2004-12-02 17:45,10.1,10.25,9.95,9.85,252192
CCC,2004-12-03 17:37,9.95,9.95,9.8,9.45,47657
CCC,2004-12-06 17:36,9.75,9.75,9.6,9.5,24404
CCC,2004-12-07 17:39,9.5,9.5,9.4,9.15,22520
CCC,2004-12-08 17:39,9.4,9.4,9.35,9.1,11571
CCC,2004-12-09 17:36,9.4,9.4,9.4,9.2,11003
CCC,2004-12-10 16:10,9.4,9.4,9.35,9.3,4858
CCC,2004-12-13 17:39,9.45,9.45,9.1,9.1,4496
CCC,2004-12-14 17:38,9.2,9.3,9.3,9.15,10820
CCC,2004-12-15 17:32,9.35,9.35,9.2,9.15,8441
CCC,2004-12-16 17:41,9.1,9.5,9.5,9.1,17901
CCC,2004-12-17 17:34,9.3,9.65,9.5,9.3,13971
CCC,2004-12-20 17:42,9.5,9.5,9.35,9.3,3540
CCC,2004-12-21 17:35,9.4,9.4,9.35,9.35,4741
CCC,2004-12-22 17:34,9.3,9.3,9.3,9.15,2070
CCC,2004-12-23 17:27,9.4,9.4,9.35,9.25,2668
CCC,2004-12-24 14:21,9.35,9.45,9.45,9.35,4064
CCC,2004-12-27 17:27,9.4,9.55,9.55,9.4,9645
CCC,2004-12-28 17:30,9.35,9.5,9.5,9.35,11143
CCC,2004-12-29 17:33,9.45,9.5,9.5,9.45,15581
CCC,2004-12-30 17:32,9.4,9.55,9.55,9.4,30530
CCC,2004-12-31 15:17,9.3,9.55,9.55,9.3,32911
CCC,2005-01-03 17:33,9.5,9.55,9.55,9.45,6543
CCC,2005-01-04 17:28,9.55,9.55,9.5,9.5,3892
CCC,2005-01-05 17:32,9.45,9.45,9.2,9.15,2875
CCC,2005-01-06 17:32,9.2,9.25,9.2,9.2,9643
CCC,2005-01-07 15:55,9.2,9.4,9.2,9.2,3401
CCC,2005-01-10 17:30,9.2,9.2,9.15,9.15,759
CCC,2005-01-11 17:30,9.15,9.15,9.0,9.0,97371
CCC,2005-01-12 17:27,8.95,9.05,9.05,8.95,3595
CCC,2005-01-13 17:30,8.9,9.15,9.15,8.9,6408
CCC,2005-01-14 15:57,9.0,9.2,9.2,9.0,4641
CCC,2005-01-17 17:26,9.0,9.2,9.2,9.0,7394
CCC,2005-01-18 17:36,9.15,9.25,9.25,9.0,17818
CCC,2005-01-19 17:40,9.2,9.25,9.25,9.2,6273
CCC,2005-01-20 17:32,9.0,9.3,9.3,9.0,1666
CCC,2005-01-21 17:28,9.05,9.05,8.9,8.9,700
CCC,2005-01-24 17:35,9.0,9.0,9.0,8.9,1754
CCC,2005-01-25 17:32,8.95,8.95,8.95,8.95,1017
CCC,2005-01-26 17:30,9.1,9.25,9.1,8.95,2258
CCC,2005-01-27 17:39,8.95,9.1,9.1,8.95,4871
CCC,2005-01-28 17:32,8.95,9.3,9.2,8.95,11606
CCC,2005-01-31 17:33,9.2,9.2,9.2,9.0,11958
CCC,2005-02-01 17:56,9.0,9.4,9.4,9.0,9197
CCC,2005-02-02 17:42,9.3,9.4,9.4,9.3,48070
CCC,2005-02-03 17:33,9.15,9.4,9.4,9.15,5636
CCC,2005-02-04 17:38,9.4,9.4,9.4,9.15,3290
CCC,2005-02-07 17:42,9.15,9.5,9.5,9.15,14192
CCC,2005-02-08 17:37,9.5,9.5,9.5,9.25,2786
CCC,2005-02-09 17:35,9.25,9.5,9.5,9.25,6331
CCC,2005-02-10 17:45,9.25,9.5,9.5,9.25,49948
CCC,2005-02-11 16:10,9.5,9.6,9.6,9.5,17100
CCC,2005-02-14 17:36,9.55,9.55,9.5,9.35,1689
CCC,2005-02-15 17:45,9.45,9.45,9.45,9.35,5563
CCC,2005-02-16 17:51,9.25,9.55,9.55,9.25,4548
CCC,2005-02-17 17:52,9.5,9.65,9.65,9.5,44531
CCC,2005-02-18 17:52,9.55,9.65,9.65,9.5,217493
CCC,2005-02-21 17:39,9.65,9.65,9.5,9.25,247099
CCC,2005-02-22 18:00,9.6,9.9,9.8,9.5,178143
CCC,2005-02-23 17:37,9.75,10.4,10.4,9.75,198142
CCC,2005-02-24 17:40,10.5,10.5,10.4,10.2,27660
CCC,2005-02-25 17:52,10.25,11.0,11.0,10.25,184905
CCC,2005-02-28 17:50,10.95,10.95,10.8,10.5,241208
CCC,2005-03-01 17:40,10.85,11.2,11.0,10.65,111387
CCC,2005-03-02 17:46,10.85,10.95,10.8,10.65,106404
CCC,2005-03-03 17:38,10.8,11.0,10.95,10.8,24137
CCC,2005-03-04 17:33,10.95,10.95,10.7,10.7,4555
CCC,2005-03-07 17:33,10.7,11.1,11.0,10.6,32659
CCC,2005-03-08 17:33,11.0,11.2,10.95,10.8,82179
CCC,2005-03-09 17:45,10.95,10.95,10.9,10.7,37503
CCC,2005-03-10 17:37,10.8,10.9,10.9,10.65,227794
CCC,2005-03-11 17:39,10.9,10.9,10.8,10.65,6405
CCC,2005-03-14 17:33,10.7,10.7,10.65,10.6,16900
CCC,2005-03-15 17:31,10.6,10.7,10.7,10.55,19514
CCC,2005-03-16 17:45,10.7,10.7,10.7,10.55,79897
CCC,2005-03-17 17:40,10.7,10.7,10.5,10.0,32443
CCC,2005-03-18 17:35,10.65,10.95,10.95,10.65,204836
CCC,2005-03-21 17:32,11.2,11.6,11.35,11.2,280716
CCC,2005-03-22 17:32,11.55,11.9,11.75,11.45,135747
CCC,2005-03-23 17:36,11.85,12.7,12.55,11.65,246065
CCC,2005-03-24 17:32,12.5,12.75,12.3,12.1,177153
CCC,2005-03-29 17:28,12.3,12.45,12.4,12.05,8480
